,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015
GFPT        ,  54.88 ,,,  40.77 ,  33.57 ,  35.46 ,  29.13 ,  29.36 ,  32.33 ,  34.38 ,,  29.19 ,  28.18 ,  26.23 
GJS         ,,,,,,,,,,,,,,
GL          ,,,  42.52 ,  65.74 ,,  75.41 ,  7.35 ,  43.41 ,  69.65 ,  68.85 ,  49.55 ,  71.15 ,  59.16 ,  40.82 
GLAND       ,,,  47.54 ,,  68.27 ,  70.76 ,  94.00 ,  (713.38),  (16.68),"  (26,590.15)",,  45.80 ,  45.60 ,  84.78 
GLOBAL      ,,,,,,,,  34.77 ,  14.73 ,  6.56 ,  6.54 ,  7.66 ,  8.28 ,  18.93 
GLOW        ,,,,  85.14 ,  41.17 ,  50.59 ,  71.75 ,  63.69 ,  48.99 ,  84.15 ,  55.55 ,  55.86 ,  52.90 ,  100.67 
GOLD        ,,,,,,  3.82 ,,,,,,,,  24.76 
GRAMMY      ,  150.54 ,  103.68 ,  87.47 ,  84.27 ,  93.89 ,  63.42 ,  90.55 ,  90.32 ,  82.08 ,  45.78 ,,,,
GRAND       ,,,,,,,,,,,,,  2.67 ,
GUNKUL      ,,,,,,,,,  24.36 ,  44.68 ,  3.39 ,  22.73 ,  27.11 ,  56.19 
GYT         ,  121.56 ,  43.80 ,  45.86 ,  50.53 ,  20.47 ,  27.91 ,  123.13 ,  31.73 ,  44.20 ,,  52.28 ,  44.97 ,  62.40 ,  38.39 
HANA        ,  (71.91),  48.87 ,  47.25 ,  54.76 ,  55.89 ,  44.08 ,  51.38 ,  55.16 ,  45.38 ,  49.74 ,  48.47 ,  51.66 ,  47.27 ,  77.90 
HFT         ,,  58.29 ,  25.05 ,,,  263.01 ,  172.63 ,  45.64 ,  62.18 ,  29.44 ,  33.43 ,  30.81 ,  33.97 ,  31.83 
HMPRO       ,  41.18 ,  43.73 ,  37.81 ,  37.53 ,  37.85 ,  48.78 ,  70.54 ,  68.91 ,  9.51 ,  47.70 ,  4.89 ,  14.79 ,  34.62 ,  93.97 
HTC         ,  75.33 ,  71.78 ,  83.60 ,  132.91 ,  78.18 ,,  53.37 ,  51.77 ,  55.15 ,  50.11 ,  50.55 ,  43.60 ,  51.86 ,  49.37 
