Name,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015
CWT         ,  18.80 ,  12.06 ,  12.97 ,  13.71 ,,  12.17 ,  11.74 ,  13.84 ,  11.32 ,  10.61 ,  8.73 ,  10.13 ,  10.40 ,  9.88 
DCC         ,  13.12 ,  11.47 ,  10.62 ,  11.33 ,  16.68 ,  17.88 ,  19.24 ,  18.36 ,  18.52 ,  17.73 ,  17.74 ,  19.30 ,  18.81 ,  17.76 
DCON        ,,,  15.28 ,  17.70 ,  20.98 ,  24.83 ,  22.85 ,  24.48 ,  20.48 ,  19.35 ,  18.84 ,  19.54 ,  13.50 ,  19.75 
DELTA       ,  7.44 ,  10.42 ,  12.44 ,  14.28 ,  13.36 ,  13.81 ,  15.06 ,  17.17 ,  15.45 ,  16.78 ,  16.21 ,  10.28 ,  9.96 ,  9.81 
DEMCO       ,,,,,,,,,,  6.78 ,  5.50 ,  7.08 ,  6.17 ,  23.42 
DIMET       ,,,,,,,  25.71 ,  23.32 ,  26.66 ,  27.20 ,  24.60 ,  29.39 ,  29.82 ,  28.67 
DRACO       ,  6.53 ,  5.94 ,  6.59 ,  7.47 ,  6.87 ,  5.00 ,  6.17 ,  5.61 ,  4.79 ,  5.71 ,  26.28 ,  8.25 ,  7.56 ,  9.44 
DRT         ,,,,  15.73 ,  16.08 ,  16.38 ,  17.37 ,  16.21 ,  14.23 ,  13.46 ,  13.55 ,  13.43 ,  14.71 ,  15.26 
DSGT        ,,,,,  29.64 ,  29.02 ,  28.28 ,  27.06 ,  27.77 ,  26.04 ,  26.04 ,  28.57 ,  28.83 ,  30.86 
DTAC        ,,,,,,  15.74 ,  17.19 ,  18.50 ,  16.34 ,  14.78 ,  13.16 ,  14.92 ,  16.44 ,  18.70 
DTC         ,  29.24 ,  23.81 ,  25.29 ,  28.68 ,  28.21 ,  30.65 ,  32.26 ,  33.56 ,  39.67 ,  31.74 ,  30.49 ,  31.27 ,  33.31 ,  29.35 
DTCI        ,  33.04 ,  28.74 ,  29.07 ,  25.93 ,  24.69 ,  22.82 ,  24.67 ,  28.33 ,  26.26 ,  27.02 ,  28.85 ,  25.77 ,  28.34 ,  24.57 
E           ,,,,  62.40 ,  71.11 ,  142.31 ,  294.46 ,  70.38 ,  56.95 ,  84.99 ,  82.26 ,  86.07 ,  112.38 ,  122.25 
EARTH       ,  90.63 ,  25.15 ,  87.63 ,  72.83 ,  52.21 ,  54.73 ,  66.13 ,  214.79 ,  7.83 ,,,,  4.05 ,  2.37 
EASON       ,,,,  16.86 ,  19.79 ,  21.21 ,  24.64 ,  22.83 ,  21.56 ,  20.98 ,  24.17 ,  30.73 ,  37.28 ,  37.93 
EASTW       ,  11.33 ,  9.67 ,  8.96 ,  11.63 ,  11.01 ,  18.65 ,  10.31 ,  11.64 ,  7.12 ,  11.32 ,  11.69 ,  10.38 ,  9.72 ,  10.50 
ECL         ,,,  64.27 ,  59.67 ,  55.82 ,  66.45 ,  61.76 ,  66.90 ,  71.59 ,  64.07 ,  48.96 ,  47.95 ,  52.42 ,  53.07 
