,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015
CSP         ,,,,  1.90 ,  1.81 ,  1.72 ,  1.33 ,  1.40 ,  1.61 ,  1.47 ,  1.55 ,  1.60 ,  1.75 ,  1.23 
CSR         ,  117.29 ,  117.41 ,  117.61 ,  118.11 ,  114.22 ,  93.30 ,  93.46 ,  88.18 ,  89.23 ,  89.51 ,  84.17 ,  74.33 ,  75.46 ,  59.62 
CTW         ,  9.22 ,  9.64 ,  9.81 ,  9.96 ,  10.81 ,  9.89 ,  7.87 ,  8.62 ,  9.98 ,  9.96 ,  10.70 ,  11.03 ,  10.55 ,  9.83 
CWT         ,  2.05 ,  2.72 ,  3.22 ,  3.02 ,  2.21 ,  2.08 ,  1.67 ,  1.24 ,  2.17 ,  2.36 ,  2.20 ,  1.95 ,  2.06 ,  2.09 
DCC         ,  0.21 ,  0.24 ,  0.25 ,  0.28 ,  0.31 ,  0.34 ,  0.37 ,  0.41 ,  0.41 ,  0.40 ,  0.41 ,  0.42 ,  0.42 ,  0.47 
DCON        ,,,  0.20 ,  0.21 ,  0.22 ,  0.23 ,  0.23 ,  0.22 ,  0.24 ,  0.26 ,  0.29 ,  0.34 ,  0.37 ,  0.44 
DELTA       ,  12.44 ,  11.15 ,  11.24 ,  12.59 ,  11.66 ,  12.68 ,  13.46 ,  14.10 ,  15.40 ,  15.92 ,  18.04 ,  20.30 ,  22.12 ,  24.50 
DEMCO       ,,,,,,,,,,  2.21 ,  2.92 ,  4.52 ,  4.83 ,  4.27 
DIMET       ,,,,,,,  0.76 ,  0.79 ,  0.80 ,  0.72 ,  0.62 ,  0.55 ,  0.57 ,  0.52 
DRACO       ,  0.39 ,  0.42 ,  0.42 ,  0.42 ,  0.44 ,  0.50 ,  5.31 ,  5.40 ,  5.62 ,  5.76 ,  5.36 ,  5.40 ,  4.64 ,  4.52 
DRT         ,,,,  0.25 ,  0.28 ,  1.56 ,  1.48 ,  1.59 ,  1.83 ,  1.99 ,  2.13 ,  2.20 ,  2.14 ,  2.22 
DSGT        ,,,,,  0.65 ,  0.76 ,  0.84 ,  0.98 ,  1.18 ,  1.26 ,  1.64 ,  1.84 ,  1.99 ,  1.86 
DTAC        ,,,,,,  21.90 ,  25.11 ,  26.41 ,  29.08 ,  14.73 ,  14.75 ,  13.81 ,  13.76 ,  11.50 
DTC         ,  3.77 ,  3.75 ,  4.13 ,  4.21 ,  4.50 ,  4.56 ,  4.60 ,  4.48 ,  4.66 ,  4.56 ,  4.66 ,  5.33 ,  5.23 ,  5.40 
