Name,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015
DTC         ,  0.52 ,  0.37 ,  0.67 ,  0.29 ,  0.26 ,  0.14 ,  0.25 ,  (0.13),  0.13 ,  0.04 ,  0.18 ,  0.19 ,  (0.02),  0.23 
DTCI        ,  (2.09),  (3.04),  (1.20),  (0.21),  0.49 ,  2.04 ,  0.86 ,  0.42 ,  1.20 ,  1.49 ,  1.29 ,  1.22 ,  0.34 ,  1.77 
E           ,,,,  0.00 ,  (0.01),  (0.22),  (0.25),  0.01 ,  0.12 ,  0.03 ,  (0.03),  (0.07),  (0.15),  (0.14)
EARTH       ,  3.64 ,  0.02 ,  (0.15),  (0.20),  (0.12),  (0.07),  (0.16),  (0.05),  0.03 ,,,,  0.35 ,  0.29 
EASON       ,,,,  0.28 ,  0.29 ,  0.24 ,  0.20 ,  0.23 ,  0.19 ,  0.16 ,  0.38 ,  0.33 ,  0.22 ,  0.24 
EASTW       ,  0.28 ,  0.31 ,  0.45 ,  0.38 ,  0.38 ,  0.32 ,  0.09 ,  0.49 ,  0.55 ,  0.61 ,  0.75 ,  0.79 ,  0.80 ,  0.95 
ECL         ,,,  0.01 ,  0.05 ,  0.04 ,  (0.02),  0.07 ,  0.07 ,  0.07 ,  0.05 ,  0.09 ,  0.08 ,  0.09 ,  0.08 
EE          ,  0.00 ,  (0.00),  0.00 ,  0.00 ,  (0.03),  (0.05),  (0.01),  (0.04),  (0.02),  (0.00),  0.02 ,  0.00 ,  0.00 ,  (0.04)
EGCO        ,  5.62 ,  11.39 ,  8.85 ,  7.77 ,  11.46 ,  15.96 ,  13.16 ,  15.07 ,  12.90 ,  9.48 ,  20.85 ,  13.13 ,  14.56 ,  8.20 
EIC         ,,  0.03 ,  0.03 ,  0.01 ,  0.01 ,  0.12 ,  0.11 ,  (0.06),  0.02 ,  0.02 ,  (0.01),  (0.03),  (0.41),  (0.32)
EMC         ,  1.06 ,  1.19 ,  0.27 ,  0.03 ,  0.05 ,  0.20 ,  0.11 ,  (0.10),  (0.08),  0.02 ,  0.04 ,  (0.93),  (0.05),  (0.04)
EPCO        ,  1.94 ,  (0.07),  0.10 ,  0.09 ,  0.07 ,  0.28 ,  0.24 ,  0.19 ,  0.21 ,  0.15 ,  0.12 ,  0.24 ,  0.29 ,  0.32 
ERW         ,  0.06 ,  0.27 ,  0.19 ,  0.14 ,  0.21 ,  0.18 ,  0.03 ,  (0.10),  (0.12),  0.22 ,  0.05 ,  0.38 ,  (0.05),  0.08 
ESSO        ,,,,,,,  (1.98),  1.29 ,  0.48 ,  0.27 ,  (0.49),  (0.11),  (2.99),  0.49 
ESTAR       ,  (0.05),  0.04 ,  0.02 ,  (0.03),  0.00 ,  0.03 ,  0.02 ,  0.00 ,  0.01 ,  (0.03),  (0.03),  0.03 ,  0.06 ,  0.03 
EVER        ,"  (5,963.35)",  (0.09),,,  0.14 ,  0.02 ,  0.00 ,  (0.48),  (0.09),  0.34 ,  (0.05),  (0.00),  (0.01),  (0.03)
F&D         ,  3.80 ,  3.67 ,  0.53 ,  (0.65),  (3.40),  (0.87),  0.90 ,  4.84 ,  4.37 ,  1.72 ,  3.06 ,  0.81 ,  (1.63),  (5.50)
FANCY       ,  1.20 ,  0.54 ,  0.62 ,  0.35 ,  (0.05),  0.08 ,  (0.01),  0.18 ,  0.12 ,  (0.07),  (0.15),  0.06 ,  0.04 ,  (0.16)
FE          ,  7.73 ,  8.02 ,  7.31 ,  7.70 ,  7.74 ,  7.72 ,  8.00 ,  10.38 ,  12.72 ,  14.95 ,  15.53 ,  13.60 ,  8.90 ,  13.61 
FMT         ,  3.72 ,  4.09 ,  5.51 ,  3.94 ,  0.94 ,  0.43 ,  1.54 ,  (4.90),  1.71 ,  0.47 ,  (0.29),  0.71 ,  1.73 ,  2.30 
FNS         ,  1.83 ,  5.22 ,  3.79 ,  0.81 ,  (1.45),  (2.26),  (4.88),  (3.64),  0.06 ,  (1.15),  (0.16),  0.30 ,  0.23 ,  2.28 
FOCUS       ,,,  0.01 ,  0.02 ,  0.06 ,  0.09 ,  (0.05),  (0.17),  (0.47),  0.10 ,  0.51 ,  (0.16),  (0.26),  0.03 
FORTH       ,,,,,  0.11 ,  0.11 ,  (0.08),  0.08 ,  0.33 ,  0.39 ,  0.10 ,  0.26 ,  0.35 ,  0.48 
FSS         ,,,  0.35 ,  0.13 ,  (0.02),  (0.04),  (0.34),  0.04 ,  0.29 ,  0.16 ,  0.34 ,  0.73 ,  0.42 ,  0.24 
GBX         ,,,  0.08 ,  0.17 ,  (0.01),  0.01 ,  (0.11),  0.05 ,  0.06 ,  0.04 ,  0.01 ,  0.04 ,  0.03 ,  0.01 
GC          ,,,,  0.18 ,  0.33 ,  0.54 ,  0.38 ,  0.48 ,  0.62 ,  0.40 ,  0.39 ,  0.35 ,  0.24 ,  0.40 
GENCO       ,  (0.01),  (0.07),  (0.27),  0.01 ,  0.02 ,  0.08 ,  0.01 ,  (0.08),  0.00 ,  0.02 ,  0.03 ,  0.01 ,  0.00 ,  0.00 
GFPT        ,  0.58 ,  0.20 ,  (0.40),  0.29 ,  0.09 ,  0.23 ,  0.86 ,  0.85 ,  0.93 ,  0.96 ,  0.03 ,  1.20 ,  1.42 ,  0.95 
GJS         ,  (12.20),  22.75 ,  0.57 ,  (0.69),  (1.48),  (0.06),  (0.81),  (1.42),  (0.81),  (0.28),  (0.51),  (0.15),  (0.04),  (0.14)
