Name,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015
CRANE       ,,,,,,,,,,,,,  0.73 ,  0.88 
CSC         ,  2.92 ,  1.27 ,  1.06 ,  0.97 ,  0.57 ,  0.25 ,  0.13 ,  0.03 ,  0.00 ,  -   ,  -   ,  -   ,  -   ,  -   
CSL         ,,,  0.00 ,  0.00 ,  -   ,  0.00 ,  0.37 ,  0.30 ,  0.21 ,  0.14 ,  0.07 ,  0.13 ,  0.40 ,  0.58 
CSP         ,,,,  1.10 ,  0.74 ,  1.07 ,  1.84 ,  1.52 ,  1.68 ,  2.22 ,  1.81 ,  1.71 ,  1.74 ,  2.58 
CSR         ,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,  0.00 ,  0.00 ,  -   ,  -   ,  -   ,  -   ,  -   
CTW         ,  0.38 ,  0.25 ,  0.47 ,  0.53 ,  0.74 ,  0.74 ,  0.07 ,  0.05 ,  0.05 ,  0.07 ,  0.07 ,  0.08 ,  0.07 ,  0.04 
CWT         ,  2.53 ,  1.79 ,  1.36 ,  1.33 ,  1.76 ,  1.70 ,  2.16 ,  2.13 ,  0.90 ,  0.69 ,  0.54 ,  0.61 ,  0.62 ,  0.70 
DCC         ,  0.82 ,  0.70 ,  0.58 ,  0.84 ,  0.83 ,  0.52 ,  0.34 ,  0.00 ,  0.00 ,  0.15 ,  0.32 ,  0.44 ,  0.50 ,  0.31 
DCON        ,,,  0.02 ,  0.06 ,  0.30 ,  0.28 ,  0.17 ,  0.03 ,  0.01 ,  0.00 ,  0.08 ,  0.13 ,  0.13 ,  0.28 
DELTA       ,  0.06 ,  0.33 ,  0.29 ,  0.16 ,  0.13 ,  0.12 ,  0.14 ,  0.07 ,  0.06 ,  0.05 ,  0.03 ,  0.03 ,  0.01 ,  0.01 
DEMCO       ,,,,,,,,,,  0.63 ,  0.76 ,  0.28 ,  0.46 ,  0.50 
DIMET       ,,,,,,,  0.01 ,  0.02 ,  0.02 ,  0.02 ,  0.08 ,  0.27 ,  0.51 ,  0.03 
DRACO       ,  0.39 ,  0.21 ,  0.27 ,  0.18 ,  0.16 ,  0.15 ,  0.04 ,  0.10 ,  0.01 ,  0.06 ,  0.03 ,  0.08 ,  0.65 ,  0.52 
DRT         ,,,,  0.21 ,  0.16 ,  0.10 ,  0.21 ,  0.26 ,  0.11 ,  0.31 ,  0.43 ,  0.65 ,  0.55 ,  0.37 
DSGT        ,,,,,  0.21 ,  0.00 ,  0.22 ,  0.25 ,  0.47 ,  1.03 ,  0.99 ,  1.18 ,  1.21 ,  1.26 
DTAC        ,,,,,,  0.60 ,  0.48 ,  0.11 ,  0.06 ,  0.13 ,  0.87 ,  0.96 ,  1.03 ,  1.76 
DTC         ,  0.04 ,  0.11 ,  0.12 ,  0.35 ,  0.43 ,  0.45 ,  0.33 ,  0.29 ,  0.09 ,  0.48 ,  0.50 ,  0.43 ,  0.40 ,  0.44 
DTCI        ,  0.85 ,  0.92 ,  0.92 ,  0.70 ,  0.54 ,  0.23 ,  0.13 ,  0.01 ,  0.00 ,  0.01 ,  0.05 ,  0.03 ,  0.04 ,  0.03 
E           ,,,,  0.01 ,  0.00 ,  0.00 ,  0.00 ,  0.00 ,  0.07 ,  0.11 ,  0.11 ,  0.16 ,  0.17 ,  0.18 
EARTH       ,  0.26 ,  0.26 ,  0.23 ,  0.74 ,  1.20 ,  1.88 ,  (5.28),  -   ,  1.85 ,,,,  2.27 ,  1.67 
EASON       ,,,,  -   ,  -   ,  0.06 ,  0.26 ,  0.10 ,  0.18 ,  0.02 ,  0.00 ,  0.12 ,  0.16 ,  0.12 
EASTW       ,  0.84 ,  0.83 ,  0.90 ,  0.71 ,  1.03 ,  0.97 ,  0.45 ,  0.36 ,  0.39 ,  0.43 ,  0.59 ,  0.58 ,  0.64 ,  0.94 
ECL         ,,,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,  -   
EE          ,  1.81 ,  1.80 ,  1.82 ,  2.04 ,  0.28 ,  0.33 ,  0.34 ,  0.00 ,  0.00 ,  0.00 ,  0.00 ,  -   ,  -   ,  -   
EGCO        ,  1.64 ,  1.09 ,  0.86 ,  0.76 ,  0.71 ,  0.22 ,  0.25 ,  0.21 ,  0.18 ,  0.21 ,  0.53 ,  0.71 ,  1.03 ,  1.16 
EIC         ,,  0.03 ,  -   ,  -   ,  -   ,  -   ,  0.01 ,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,  0.06 
EMC         ,  (0.97),  (1.42),  0.23 ,  0.25 ,  0.19 ,  0.09 ,  0.14 ,  0.11 ,  0.11 ,  0.20 ,  0.21 ,  1.28 ,  0.23 ,  0.07 
EPCO        ,  0.00 ,  0.69 ,  0.48 ,  0.28 ,  0.01 ,  -   ,  0.01 ,  -   ,  -   ,  -   ,  1.28 ,  1.45 ,  0.86 ,  0.21 
ERW         ,  1.16 ,  0.96 ,  0.97 ,  1.18 ,  1.77 ,  1.41 ,  2.11 ,  2.52 ,  2.75 ,  2.09 ,  2.24 ,  1.40 ,  1.85 ,  1.83 
ESSO        ,,,,,,,  1.37 ,  1.16 ,  1.11 ,  1.56 ,  1.36 ,  1.25 ,  1.89 ,  1.41 
