,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015
WORLD       ,  -   ,  -   ,  -   ,  -   ,,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,,,
WIIK        ,  -   ,  0.12 ,  -   ,  -   ,  0.04 ,  -   ,  0.04 ,  -   ,  -   ,  -   ,  -   ,,,  0.11 
AEC         ,  -   ,  0.14 ,  0.07 ,,  -   ,  0.01 ,  -   ,  -   ,,  -   ,  -   ,,,
PRINC       ,,,,  0.08 ,  -   ,  -   ,  0.11 ,  -   ,  -   ,  -   ,  -   ,,,
EFORL       ,,,,,,,,  -   ,  -   ,  -   ,  -   ,,  0.01 ,  0.02 
VGI         ,,,,,,,,,,,,  0.18 ,  0.28 ,  0.08 
AKP         ,,,,,,,,,,,,  0.05 ,  0.06 ,  0.07 
EA          ,,,,,,,,,,,,  0.02 ,  0.02 ,  0.10 
PPP         ,,,,,,,,,,,,  0.05 ,  0.16 ,  0.16 
ECF         ,,,,,,,,,,,,  0.03 ,  0.07 ,  0.06 
SANKO       ,,,,,,,,,,,,,,
CHO         ,,,,,,,,,,,,  0.02 ,  0.06 ,  0.01 
CHG         ,,,,,,,,,,,,  0.27 ,  0.30 ,  0.04 
PTG         ,,,,,,,,,,,,  0.11 ,  0.15 ,  0.20 
MONO        ,,,,,,,,,,,,  0.29 ,  0.04 ,
NOK         ,,,,,,,,,,,,  1.03 ,,
CKP         ,,,,,,,,,,,,,  0.10 ,  0.02 
MC          ,,,,,,,,,,,,  0.73 ,  0.80 ,  0.75 
PACE        ,,,,,,,,,,,,,,
AUCT        ,,,,,,,,,,,,  0.12 ,  0.34 ,  0.34 
M           ,,,,,,,,,,,,  1.60 ,  1.80 ,  1.90 
BKD         ,,,,,,,,,,,,  0.05 ,  0.01 ,  0.13 
SEAOIL      ,,,,,,,,,,,,  0.02 ,  0.02 ,  0.01 
CSS         ,,,,,,,,,,,,  0.14 ,  0.07 ,  0.20 
NYT         ,,,,,,,,,,,,  0.50 ,  0.60 ,  0.65 
WINNER      ,,,,,,,,,,,,  0.17 ,  0.16 ,  0.20 
THREL       ,,,,,,,,,,,,  0.45 ,  0.45 ,  0.50 
FVC         ,,,,,,,,,,,,  0.04 ,  0.04 ,  0.05 
BJCHI       ,,,,,,,,,,,,  2.40 ,  0.25 ,  0.50 
MEGA        ,,,,,,,,,,,,  0.18 ,  0.35 ,  0.40 
GCAP        ,,,,,,,,,,,,  0.07 ,  0.16 ,  0.20 
SPVI        ,,,,,,,,,,,,  0.02 ,  0.02 ,  0.02 
OCEAN       ,,,,,,,,,,,,  0.02 ,  0.00 ,
GEL         ,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,,  0.01 ,
SMG         ,  1.02 ,  1.78 ,  2.29 ,  1.67 ,  1.37 ,  1.40 ,  -   ,  1.52 ,  1.52 ,  -   ,  -   ,,,
POLAR       ,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,,,
AQ          ,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,,,
BIG         ,  0.01 ,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,,,  0.06 
PRAKIT      ,  0.60 ,  1.00 ,  0.70 ,  0.50 ,  0.59 ,  0.59 ,  0.60 ,  0.50 ,  0.65 ,  0.75 ,  1.00 ,  1.00 ,  0.80 ,  1.00 
BDMS        ,  0.02 ,  0.03 ,  0.05 ,  0.05 ,  0.05 ,  0.05 ,  0.06 ,  0.07 ,  -   ,  0.11 ,  0.18 ,  2.00 ,  0.23 ,  0.26 
PK          ,0.00,0.00,  -   ,  0.10 ,  0.15 ,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,,,
U           ,0.00,0.00,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,,,
NPP         ,0.04,0.04,  -   ,  -   ,  0.04 ,  0.06 ,  0.06 ,  0.07 ,  -   ,  -   ,  0.08 ,,,
NEWS        ,,,  0.01 ,  0.01 ,  0.00 ,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,,,
S           ,,,,,,  0.03 ,  -   ,  0.03 ,  0.04 ,  0.02 ,  0.01 ,,,
THE         ,,,,,,  -   ,  0.10 ,  -   ,  0.10 ,  0.10 ,  0.05 ,,,
COL         ,,,,,,,,,,,  0.30 ,  0.50 ,  0.55 ,  0.55 
GIFT        ,,,,,,,,,,  0.09 ,  0.02 ,  0.07 ,  0.05 ,  0.07 
UREKA       ,,,,,,,,,,,,  0.11 ,  0.02 ,
KTIS        ,,,,,,,,,,,,  0.30 ,  0.18 ,  0.10 
PCSGH       ,,,,,,,,,,,,  0.15 ,  0.42 ,  0.32 
SUTHA       ,,,,,,,,,,,,,  0.30 ,  0.45 
OTO         ,,,,,,,,,,,,,  0.16 ,  0.16 
AIE         ,,,,,,,,,,,,,,
LIT         ,,,,,,,,,,,,  0.10 ,  0.12 ,  0.18 
AJD         ,,,,,,,,,,,,  0.10 ,,
RWI         ,,,,,,,,,,,,,,
TSR         ,,,,,,,,,,,,,  0.07 ,  0.12 
ICHI        ,,,,,,,,,,,,,  1.00 ,  0.50 
AIRA        ,,,,,,,,,,,,,  0.01 ,  0.01 
TAE         ,,,,,,,,,,,,,  0.15 ,  0.15 
PCA         ,,,,,,,,,,,,,  0.12 ,  0.14 
CCN         ,,,,,,,,,,,,,  0.04 ,  0.04 
SAWAD       ,,,,,,,,,,,,,  0.00 ,  0.00 
RICHY       ,,,,,,,,,,,,,  0.04 ,  0.06 
PDG         ,,,,,,,,,,,,,  0.17 ,  0.22 
SAPPE       ,,,,,,,,,,,,,0.307,0.42
TAKUNI      ,,,,,,,,,,,,,0.06,0.032695
XO          ,,,,,,,,,,,,,,0.1
LDC         ,,,,,,,,,,,,,,
SMART       ,,,,,,,,,,,,,,
CBG         ,,,,,,,,,,,,,0.6,0.89
FSMART      ,,,,,,,,,,,,,0.2,0.28
BA          ,,,,,,,,,,,,,0.20,0.70
SPA         ,,,,,,,,,,,,,0.03,0.10
WP          ,,,,,,,,,,,,,,
TSE         ,,,,,,,,,,,,,,0.06
BRR         ,,,,,,,,,,,,,0.20,0.22
MTLS        ,,,,,,,,,,,,,0.13,0.20
NCL         ,,,,,,,,,,,,,0.02,
FIRE        ,,,,,,,,,,,,,0.15,0.10
JSP         ,,,,,,,,,,,,,0.10,0.09
VPO         ,,,,,,,,,,,,,0.05,
KCM         ,,,,,,,,,,,,,0.03,0.01
PSTC        ,,,,,,,,,,,,,0.0074,0.0018
DCORP       ,,,,,,,,,,,,,,
ACC         ,,,0.40,0.00,0.00,0.00,0.02,,0.00,0.08,0.00,,,
TU          ,0.30,0.43,0.36,0.28,0.16,0.26,0.29,0.45,0.35,0.37,0.53,1.49,1.45,0.63
TT          ,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,,,
VI          ,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,,,
FER         ,0.03,0.00,0.18,0.18,0.00,0.13,0.00,0.09,0.00,0.00,0.00,,,
GREEN       ,,,,0.00,0.15,0.04,0.00,0.00,0.00,0.00,0.00,,,
T           ,,,,,0.01,0.00,0.00,0.00,0.00,0.00,0.00,,,
UPA         ,,,,,,,,,0.00,0.00,0.00,,,
TFG         ,,,,,,,,,,,,,,
PMTA        ,,,,,,,,,,,,,,1.12
CGH         ,,,,,,,,,,,,,,0.05
NDR         ,,,,,,,,,,,,,0.08,0.06
TPCH        ,,,,,,,,,,,,,,
EPG         ,,,,,,,,,,,,,,0.16
PLANB       ,,,,,,,,,,,,,,0.07
SCN         ,,,,,,,,,,,,,,0.1
S11         ,,,,,,,,,,,,,0.17,0.27
PLAT        ,,,,,,,,,,,,,0.06,0.16
SLP         ,,,,,,,,,,,,,,0.02
TVT         ,,,,,,,,,,,,,,0.10
GPSC        ,,,,,,,,,,,,,,0.95
ORI         ,,,,,,,,,,,,,,0.17
DAII        ,,,,,,,,,,,,,,0.05
HPT         ,,,,,,,,,,,,,,0.02
BR          ,,,,,,,,,,,,,,0.50
ASEFA       ,,,,,,,,,,,,,,0.20
WICE        ,,,,,,,,,,,,,,0.07
AMATAV      ,,,,,,,,,,,,,,0.15
COM7        ,,,,,,,,,,,,,,0.15
PIMO        ,,,,,,,,,,,,,,0.02
ATP30       ,,,,,,,,,,,,,,0.02
TKN         ,,,,,,,,,,,,,,0.11
JWD         ,,,,,,,,,,,,,,0.04
KOOL        ,,,,,,,,,,,,,,0.02
LPH         ,,,,,,,,,,,,,,0.15
J           ,,,,,,,,,,,,,,0.07
TWPC        ,,,,,,,,,,,,,,0.27
SCI         ,,,,,,,,,,,,,,0.10
RP          ,,,,,,,,,,,,,,0.82
SR          ,,,,,,,,,,,,,,0.09
TNP         ,,,,,,,,,,,,,,0.03
SPRC        ,,,,,,,,,,,,,,0.26
TACC        ,,,,,,,,,,,,,,0.04
K           ,,,,,,,,,,,,,,0.08
