,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015
HTC         ,  0.29 ,  0.21 ,  0.24 ,  0.09 ,  0.22 ,  -   ,  0.06 ,  0.13 ,  0.23 ,  0.11 ,  0.36 ,  0.40 ,  0.30 ,  0.25 
HTECH       ,,,,,,,,  0.11 ,  0.14 ,  0.16 ,  0.17 ,  0.08 ,  0.11 ,  0.10 
HYDRO       ,,,,,,,,,,  0.11 ,  0.02 ,,,
ICC         ,  0.90 ,  0.89 ,  0.99 ,  1.00 ,  1.00 ,  1.00 ,  1.00 ,  1.00 ,  1.10 ,  1.10 ,  1.25 ,  1.20 ,  1.05 ,  1.05 
IEC         ,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,,,
IFEC        ,  -   ,  -   ,  -   ,  -   ,  -   ,  0.02 ,  0.05 ,  0.07 ,  0.10 ,  0.18 ,  0.18 ,  0.01 ,  0.01 ,  0.12 
IFS         ,,,,,,,,,  0.09 ,  0.10 ,  0.12 ,  0.14 ,  0.15 ,  0.14 
IHL         ,,,,  0.01 ,  0.03 ,  -   ,  -   ,  0.50 ,  0.46 ,  0.12 ,  0.14 ,  0.30 ,  0.45 ,  0.25 
ILINK       ,,,  0.13 ,  0.19 ,  0.40 ,  0.29 ,  0.29 ,  0.42 ,  0.25 ,  0.31 ,  0.44 ,  0.11 ,  0.03 ,  0.26 
INET        ,  0.25 ,  0.32 ,  0.28 ,  0.24 ,  0.02 ,  0.02 ,  0.05 ,  0.05 ,  0.03 ,  -   ,  -   ,,,  0.02 
INOX        ,,,  0.10 ,  0.03 ,  0.15 ,  0.01 ,  -   ,  -   ,  0.02 ,,  -   ,,,  0.01 
INSURE      ,  1.00 ,  1.40 ,  0.25 ,  -   ,  -   ,  1.00 ,  -   ,  -   ,  -   ,  -   ,  -   ,,,
INTUCH      ,  0.50 ,  1.65 ,  2.01 ,  2.61 ,  2.30 ,  0.30 ,  2.40 ,  2.40 ,  6.77 ,  5.50 ,  3.78 ,  4.53 ,  4.46 ,  4.87 
IRC         ,  0.20 ,  0.32 ,  0.34 ,  0.34 ,  0.29 ,  0.48 ,  0.45 ,  0.42 ,  0.50 ,  0.24 ,  0.21 ,  0.82 ,  0.63 ,  0.88 
IRCP        ,,  0.12 ,  0.17 ,  0.02 ,  0.21 ,  -   ,  -   ,  -   ,  -   ,  0.03 ,  0.03 ,  0.50 ,  0.22 ,  0.15 
IRPC        ,  -   ,  -   ,  -   ,  -   ,  0.12 ,  0.30 ,  0.18 ,  0.18 ,  0.18 ,  0.12 ,  0.08 ,  0.10 ,  0.08 ,  0.22 
IT          ,,  0.19 ,  0.22 ,  0.32 ,  0.36 ,  0.34 ,  0.50 ,  0.49 ,  0.59 ,  0.55 ,  0.21 ,,,  0.05 
ITD         ,  -   ,  0.05 ,  0.08 ,  0.06 ,  -   ,  0.07 ,  -   ,  -   ,  0.05 ,  -   ,  -   ,,,
IVL         ,,,,,,,,,  0.73 ,  1.00 ,  0.36 ,  0.28 ,  0.38 ,  0.48 
JAS         ,  -   ,  -   ,  -   ,  -   ,  0.02 ,  -   ,  -   ,  -   ,  0.02 ,  0.02 ,  0.09 ,  0.25 ,  1.65 ,  0.40 
