Name,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015
CPL         ,  21.49 ,  9.06 ,  8.63 ,  1.25 ,  7.52 ,  (3.44),  8.77 ,  9.48 ,  6.95 ,  8.54 ,  4.44 ,  6.76 ,  8.81 ,  3.48 
CPN         ,  19.11 ,  17.87 ,  16.78 ,  33.48 ,  14.50 ,  14.24 ,  15.89 ,  29.85 ,  6.08 ,  10.69 ,  27.31 ,  20.45 ,  18.93 ,  18.12 
CPR         ,,,,  18.02 ,  3.37 ,  0.50 ,  5.96 ,  4.27 ,  14.15 ,  11.13 ,  14.60 ,  9.17 ,  8.67 ,  10.91 
CRANE       ,,,,,,,,,,,,,  18.22 ,  (3.26)
CSC         ,  25.82 ,  28.08 ,  17.42 ,  5.18 ,  29.59 ,  11.90 ,  11.57 ,  12.36 ,  15.35 ,  12.15 ,  15.31 ,  15.91 ,  13.91 ,  12.47 
CSL         ,,,  17.46 ,  15.37 ,  11.45 ,  15.48 ,  12.72 ,  29.11 ,  36.67 ,  29.51 ,  34.43 ,  39.33 ,  (16.43),  49.67 
CSP         ,,,,  7.27 ,  6.21 ,  4.78 ,  8.75 ,  1.25 ,  14.17 ,  11.77 ,  13.30 ,  9.82 ,  16.90 ,  (23.89)
CSR         ,  1.77 ,  1.68 ,  1.95 ,  2.48 ,  2.71 ,  3.30 ,  2.97 ,  3.32 ,  3.27 ,  2.27 ,  3.60 ,  4.86 ,  4.65 ,  5.02 
CTW         ,  11.88 ,  10.49 ,  7.95 ,  8.68 ,  12.87 ,  4.60 ,  (17.68),  9.27 ,  14.75 ,  4.25 ,  12.94 ,  6.84 ,  2.63 ,  (2.42)
CWT         ,  (10.35),  (0.77),  12.33 ,  (12.61),  (30.59),  (28.43),  (23.51),  (29.23),  55.27 ,  4.70 ,  12.22 ,  (2.64),  4.16 ,  5.30 
DCC         ,  28.36 ,  34.14 ,  41.82 ,  42.87 ,  29.32 ,  27.38 ,  28.75 ,  39.02 ,  43.80 ,  46.81 ,  47.55 ,  48.37 ,  44.82 ,  47.03 
DCON        ,,,  21.37 ,  12.75 ,  8.18 ,  5.25 ,  3.71 ,  0.55 ,  10.95 ,  12.01 ,  19.05 ,  24.41 ,  32.57 ,  17.58 
DELTA       ,  22.06 ,  13.54 ,  9.24 ,  16.14 ,  13.30 ,  20.79 ,  17.77 ,  12.74 ,  22.57 ,  14.66 ,  20.53 ,  22.65 ,  22.53 ,  23.09 
DEMCO       ,,,,,,,,,,  11.38 ,  28.62 ,  14.75 ,  11.17 ,  (15.78)
DIMET       ,,,,,,,  3.52 ,  4.62 ,  3.92 ,  (9.16),  (7.04),  (13.63),  (9.82),  (6.81)
DRACO       ,  11.59 ,  9.36 ,  4.08 ,  1.20 ,  4.55 ,  15.12 ,  11.37 ,  4.34 ,  6.13 ,  5.46 ,  (2.54),  2.01 ,  (4.56),  (13.91)
DRT         ,,,,  15.86 ,  23.52 ,  26.60 ,  18.75 ,  24.46 ,  26.22 ,  23.56 ,  25.62 ,  19.98 ,  12.73 ,  14.49 
DSGT        ,,,,,  21.07 ,  23.90 ,  22.55 ,  27.12 ,  26.76 ,  13.11 ,  35.02 ,  22.18 ,  18.10 ,  -   
