Stock,กองทุนทดแทนความเสียหายในระบบการชำระราคาและส่งมอบหลักทรัพย์,กิจการที่เกี่ยวข้องกัน,ค่าความนิยม,ค่าความนิยม - สุทธิ,ค่าลิขสิทธิ์ซอฟแวร์,ค่าใช้จ่ายจ่ายล่วงหน้า,ค่าใช้จ่ายรอตัดบัญชี,งานระหว่างทำ,จากการให้เช่าและบริการ,จากเงินปันผลและดอกเบี้ย,ดอกเบี้ยค้างรับ,ตราสารหนี้ที่จะถือจนครบกำหนด,ต่างประเทศ - มีดอกเบี้ย,ต่างประเทศ - ไม่มีดอกเบี้ย,ต้นทุนโครงการพัฒนาอสังหาริมทรัพย์,ทรัพย์สินรอการขาย - สุทธิ,ที่ดิน อาคาร และอุปกรณ์,ที่ดิน อาคาร และอุปกรณ์ - สุทธิ,ที่ดิน อาคาร และอุปกรณ์ตามสัญญาเช่าการเงิน,บริษัทย่อย,บริษัทร่วม กิจการร่วมค้า และ/หรือ กิจการที่ควบคุมร่วมกัน,บุคคลหรือกิจการที่เกี่ยวข้องกัน,บุคคลหรือกิจการอื่น,ภาระของลูกค้าจากการรับรอง,ภาษีซื้อที่ยังไม่ถึงกำหนด,ภาษีมูลค่าเพิ่มค้างรับ,ภาษีมูลค่าเพิ่มรอเรียกคืน,ภาษีเงินได้ระหว่างการขอคืน,ภาษีเงินได้หัก ณ ที่จ่าย,มูลค่างานที่เสร็จยังไม่ได้เรียกเก็บ,รวมสินทรัพย์,รวมสินทรัพย์หมุนเวียน,รวมสินทรัพย์ไม่หมุนเวียน,รายการระหว่างธนาคารและตลาดเงิน,รายได้ค้างรับ,รายได้จากการลงทุนค้างรับ,ลูกหนี้,ลูกหนี้การค้าและลูกหนี้อื่น,ลูกหนี้จากการขายเงินลงทุน,ลูกหนี้จากผลตอบแทนในสิทธิการเช่าอสังหาริมทรัพย์,ลูกหนี้ธุรกิจหลักทรัพย์และสัญญาซื้อขายล่วงหน้า,ลูกหนี้ระยะยาวอื่น - สุทธิจากส่วนที่ถึงกำหนดภายในหนึ่งปี,ลูกหนี้ระยะยาวอื่นที่ถึงกำหนดภายในหนึ่งปี,ลูกหนี้ระยะสั้นอื่น - สุทธิ,ลูกหนี้สำนักหักบัญชี,ลูกหนี้อื่น - สุทธิ,วัตถุดิบ อะไหล่และวัสดุสิ้นเปลือง,สิทธิการเช่า - สุทธิ,สิทธิในการเรียกคืนหลักทรัพย์ / ภาระของลูกค้าจากการประกอบธุรกิจอื่น,สิทธิในสัมปทาน,สินค้าคงเหลือ,สินค้าระหว่างทาง,สินค้าสำเร็จรูป,สินทรัพย์,สินทรัพย์จากการประกันภัยต่อสุทธิ,สินทรัพย์ชีวภาพ,สินทรัพย์ชีวภาพ - สุทธิ,สินทรัพย์ตราสารอนุพันธ์,สินทรัพย์ตราสารอนุพันธ์หมุนเวียน,สินทรัพย์ตราสารอนุพันธ์ไม่หมุนเวียน,สินทรัพย์ทางการเงิน,สินทรัพย์ทางการเงินหมุนเวียนอื่น,สินทรัพย์ทางการเงินไม่หมุนเวียนอื่น,สินทรัพย์ภายใต้สัญญาสัมปทาน,สินทรัพย์ภาษีเงินได้รอตัดบัญชี,สินทรัพย์ลงทุน,สินทรัพย์หมุนเวียนอื่น,สินทรัพย์หมุนเวียนอื่น - อื่น ๆ,สินทรัพย์อื่น - สุทธิ,สินทรัพย์อื่น - อื่น ๆ,สินทรัพย์ไม่มีตัวตน - สุทธิ,สินทรัพย์ไม่มีตัวตนอื่น,สินทรัพย์ไม่หมุนเวียน - อื่น ๆ,สินทรัพย์ไม่หมุนเวียน และ/หรือ กลุ่มสินทรัพย์ที่ยกเลิกซึ่งถือไว้เพื่อขาย,สินทรัพย์ไม่หมุนเวียนอื่น,ส่วนที่เพิ่มขึ้นจากการตีราคาที่ดิน อาคาร และอุปกรณ์,ส่วนที่เพิ่มขึ้นจากการตีสินทรัพย์ไม่มีตัวตน,ส่วนปรับปรุงที่ดิน อาคาร และอุปกรณ์,หลักทรัพย์ซื้อโดยมีสัญญาขายคืน,หัก ค่าตัดจำหน่ายสะสมสินทรัพย์ไม่มีตัวตน,หัก ค่าเผื่อการด้อยค่าของเงินลงทุน,หัก ค่าเผื่อการด้อยค่าค่าความนิยม,หัก ค่าเผื่อการด้อยค่าที่ดิน อาคาร และอุปกรณ์,หัก ค่าเผื่อการด้อยค่าสินทรัพย์ไม่มีตัวตน,หัก ค่าเผื่อการด้อยค่าอสังหาริมทรัพย์เพื่อการลงทุน,หัก ค่าเผื่อการปรับมูลค่าจากการปรับโครงสร้างหนี้,หัก ค่าเผื่อการลดมูลค่าของสินค้าคงเหลือ,หัก ค่าเผื่อหนี้สงสัยจะสูญ,หัก ค่าเสื่อมราคาสะสมที่ดิน อาคาร และอุปกรณ์,หัก ค่าเสื่อมราคาสะสมอสังหาริทรัพย์เพื่อการลงทุน,หัก รายได้รอตัดบัญชี,อสังหาริมทรัพย์รอการขาย,อสังหาริมทรัพย์เพื่อการลงทุน,อสังหาริมทรัพย์เพื่อการลงทุน - สุทธิ,อื่น ๆ,เครื่องหมายการค้า,เงินค้างรับเกี่ยวกับการประกันภัยต่อ,เงินจ่ายล่วงหน้า,เงินทดรองจ่ายและเงินให้กู้ยืมระยะสั้น,เงินประกันผลงาน,เงินปันผลค้างรับ,เงินฝากระยะยาวในสถาบันการเงิน,เงินฝากสถาบันการเงินที่มีข้อจำกัดในการใช้,เงินมัดจำ,เงินลงทุน - สุทธิ,เงินลงทุน - อื่น ๆ,เงินลงทุนซึ่งบันทึกโดยวิธีราคาทุน,เงินลงทุนที่จะถือจนครบกำหนด,เงินลงทุนระยะยาว,เงินลงทุนระยะสั้น,เงินลงทุนระยะสั้นที่มีภาระผูกพัน,เงินลงทุนอื่น,เงินลงทุนเผื่อขาย,เงินลงทุนเพื่อค้า,เงินลงทุนแสดงตามมูลค่ายุติธรรม,เงินลงทุนในบริษัทร่วม กิจการร่วมค้า และ/หรือ กิจการที่ควบคุมร่วมกันซึ่งบันทึกโดยวิธีส่วนได้เสีย,เงินลงทุนในหลักทรัพย์,เงินลงทุนในอสังหาริมทรัพย์,เงินวางไว้จากการประกันภัยต่อ,เงินสดและรายการเทียบเท่าเงินสด,เงินให้กู้ยืมระยะยาว - สุทธิจากส่วนที่ถึงกำหนดภายในหนึ่งปี,เงินให้กู้ยืมระยะยาวที่ถึงกำหนดภายในหนึ่งปี,เงินให้กู้ยืมแก่พนักงาน,เงินให้กู้ยืมและลูกหนี้,เงินให้สินเชื่อ ลูกหนี้ และดอกเบี้ยค้างรับ - สุทธิ,เงินให้สินเชื่อแก่สถาบันการเงิน,เบี้ยประกันภัยค้างรับสุทธิ,โดยมีกรมธรรม์ประกันภัยเป็นประกัน,โดยมีทรัพย์สินจำนองเป็นประกัน,ในประเทศ - มีดอกเบี้ย,ในประเทศ - ไม่มีดอกเบี้ย
TTW,,,,,,,,,,,,,,,,,"10,769.16","10,769.16",,,,,,,,,,,,,"23,277.04","3,279.55","19,997.49",,,,,553.31,,,,,,,,,23.05,,,"2,366.56",23.05,,,(หน่วย: ล้านบาท),,,,,,,,,,"2,270.11",3.62,,26.90,,,,"2,370.60",4.04,46.50,,46.50,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,29.00,,29.00,"2,359.47",,,,,,"4,508.50",,,,316.81,,,,,,,,,,,
WHAUP,,,"2,772.88","2,772.88",,,,,,,,,,,,,,"3,089.11",,,,"1,013.76",,,,,,,,,"21,378.19","2,081.74","19,296.44",,,,,259.68,,,,,,,,,,,,,,,,(หน่วย: ล้านบาท),,,,,,,,,,,1.67,,216.73,,,,"2,126.46",,,,6.18,,,,,,,,,,,,,,,,,,,,,,,,"1,013.76",,,,,,,,281.30,,,,,,,,,"11,018.84",,,,591.57,,,,,,,,,,,
WP,,,33.49,33.49,,54.54,,,,,,,,,,,"2,577.85","2,577.85",,,,,,,,,,,,,"5,611.98","2,064.52","3,547.46",,,,,"1,021.73",,,,,,,,,,,,,203.48,,,(หน่วย: ล้านบาท),,,,,,,,,,,8.97,,5.85,,,,38.56,,172.85,,227.39,,,,,,,,,,,,,,,,,,66.29,66.29,,,,,,,,,594.92,,,,,,,,,,,,,,,,,833.47,,,,,,,,,,,
PDI,,,,26.48,,,,,,,,,,,,,,"2,540.69",,,55.89,,0.25,,,79.94,,,,,"7,408.65","3,273.14","4,135.51",,,,,483.59,,,,0.25,,,,,,,,,567.47,,,(หน่วย: ล้านบาท),,,,,,,,,,,,,405.33,325.39,,,887.31,,1.07,185.56,1.07,,,,,,,,,,,,,,,,,,,0.96,,,,,,,,,89.96,,,,536.28,,480.39,543.68,,,,,,,,,,"1,035.01",52.50,52.50,,,,,,,,,
THL,,,,,,,109.58,,,,,,,,,,,243.22,,,,,17.43,,,,8.51,,,,"1,137.56",656.68,480.88,,,,,187.51,,,,,,17.43,,,,,,,326.04,,,(หน่วย: ล้านบาท),,,,,,,,,,,,,11.51,0.00,,,0.06,,37.24,,234.59,,,,,,,,,,,,,,,,,,,,,,,87.77,,,,,3.00,3.00,,,,,,,,,,,,,,,,114.19,,,,,,,,,,,
BEAUTY,,,,,,,,,,,,,,,,,288.57,288.57,,,,,,,,,,,,,"2,335.49","1,861.24",474.25,,,,,145.65,,,,,,,,,,6.11,,,409.74,,,(หน่วย: ล้านบาท),,,,,,,,,,,10.72,,,,,,20.96,20.96,,,97.89,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,50.00,,50.00,800.00,,,,,,,,,,505.86,,,,,,,,,,,
BIG,,,,,,,,,,,,,,,,,212.62,212.62,,,,,,,,,,,,,"3,090.72","2,468.90",621.81,,,,,296.69,,,,,,,,,,77.75,,,"1,951.96",,,(หน่วย: ล้านบาท),,,,,,,,,,,31.47,,13.97,,,,39.92,,,,130.88,,,,,,,,,,,,,,,,,,,,,,,,,,,,129.18,,,,,,,,,,,,,,,,,206.28,,,,,,,,,,,
BJC,,,"157,592.83","157,592.83",947.41,,,452.37,,,,,,,,,"86,281.20","66,354.27",235.14,,,"1,873.25","12,151.83",,,,,,,,"315,058.58","38,541.66","276,516.91",,,,,"13,830.66",,,,,,,,,"2,974.56","12,975.12",,,"19,131.52",836.70,"15,526.18",(หน่วย: ล้านบาท),,,,,,,,,,,547.01,,62.54,18.70,,,"2,747.48",234.16,776.27,"1,149.23","1,102.25",,,"4,336.00",,623.77,,,73.25,,43.25,,658.30,194.42,"24,424.81","1,836.46",,,"33,636.31","31,756.60",,"2,189.68",,,,9.73,,,,325.99,,,14.00,,14.00,,,,,,,"3,427.34",,,,"4,367.72",,,,,,,,,,,
COL,,,"3,116.71","3,116.71",,,,,,,,,,,,,"1,679.86","1,679.86",,,,,455.76,,,,,,,,"8,861.86","3,590.78","5,271.08",,,,,373.19,,,,,,455.76,,,,49.53,,,"1,823.45",,,(หน่วย: ล้านบาท),,,,,,,,,,,29.19,,,,,,251.14,251.14,,,131.97,,,,,,,,,,,,,,,,,,,,,,,,,,,,12.69,,,,,,,,,,,,,,,,,938.38,,,,,,,,,,,
COM7,,,,50.66,,,,,,,,,,,,,,478.56,,,,,,,,,,,,,"7,177.53","5,646.29","1,531.24",,,,,693.09,,,,4.94,,,,,,151.28,,,"4,089.69",,,(หน่วย: ล้านบาท),,,,,,,,,,,38.81,,166.06,166.06,,,64.00,,,,302.58,,,,,,,,,,,,,,,,,,,,,,,,,,,,157.38,302.58,,,,,,,,,,,,283.02,,,,697.45,,,,,,,,,,,
CPALL,,34.00,"128,328.02","128,328.02",,,,,,,,,,,,,"106,394.00","106,394.00",,,,,"1,398.28",,,,,,,,"360,298.57","66,573.27","293,725.30",,,,,"1,600.92",,,,"1,398.28",,"6,711.81",,,,"4,075.08",,,"27,376.29",,,(หน่วย: ล้านบาท),,,,,,,,,,,914.76,,620.61,,,,"51,249.43","51,249.43",998.48,,998.48,,,,,,,,,,,,,,,,,,332.83,332.83,,,,,,,,,,,,,34.41,,0.41,"1,384.83",,,,,,,,,,"28,878.81",,,,,,,,,,,
CSS,,,156.50,156.50,,,,,,,,,,,,,409.35,409.35,,,,,,,,,,,,,"3,606.41","2,778.34",828.07,,,,,"1,837.65",,,,,,,,,,,,,661.92,,,(หน่วย: ล้านบาท),,,,,,,,,,,20.99,,15.80,,,,24.74,24.74,,,7.30,,,,,,,,,,,,,,,,,,,,,,,,,,,,183.37,,,,,,,,,,,,,25.82,,,,262.97,,,,,,,,,,,
FN,,,,,16.28,,,,,,,,,,,,,838.14,,,,0.54,6.34,,,,,,,,"1,622.78",756.72,866.06,,,,,6.34,,,,,,0.54,,,,,,,349.04,,,(หน่วย: ล้านบาท),,,,,,,,,,,4.11,,23.48,,,,16.28,,,,7.53,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,252.71,,,,,,,,,,124.61,,,,,,,,,,,
FTE,,,,,,,,,,,,,,,,,11.42,11.42,,,,0.43,228.56,,,,,,,59.15,880.82,850.81,30.01,,,,,229.00,,,,,,,,,,,,,251.39,,,(หน่วย: ล้านบาท),,,,,,,,,,,4.08,,0.48,,,,4.17,,,,1.96,,,,,,,,,,,,,,,,,,3.91,3.91,,,,,,,,,4.48,,,,,,,,,,,,,,,,,310.80,,,,,,,,,,,
GLOBAL,,,,,26.82,,,,,,,,,,,,"16,140.18","12,992.19",,,,19.28,33.86,,,92.84,579.26,,,,"28,229.56","14,326.33","13,903.23",,306.05,,,53.14,,,,,,,,,,259.63,,,"12,603.61",234.49,"12,369.12",(หน่วย: ล้านบาท),,,,,,,,,,,25.86,,"1,322.61",67.85,,,6.03,,,,12.60,,,,,20.80,,,,,,,,,"3,147.99",,,,,,,,,,,,,,,12.60,,,,,,,,,,,,606.92,,,,346.97,,,,,,,,,,,
HMPRO,,,,,496.16,,,,,,,,,,,,"29,186.21","29,186.21",,,,,,,,387.50,,,,,"52,617.09","16,974.26","35,642.83",,,,,"1,569.74",,,,,,,,,,"2,814.71",,,"9,868.59",,,(หน่วย: ล้านบาท),,,,,,,,,,,197.78,,589.23,201.73,,,496.16,,178.86,,178.86,,,,,,,,,,,,,,,,,,,"2,769.12",,,,,,,,,,,,,,,,,,,,,,,,,,"4,946.71",,,,,,,,,,,
IT,,,,,15.73,0.47,,,,,0.51,,,,,,,123.98,,,,0.02,19.51,,8.16,,,,2.03,,"1,519.14","1,185.18",333.96,,,,,101.15,,,,,,19.53,,,,,,,757.62,5.52,765.96,(หน่วย: ล้านบาท),,,,,,,,,,,8.56,,21.74,10.58,,,2.12,,,,85.17,,,708.79,,13.61,,,0.31,,,,13.86,0.05,584.50,,,,,,,,,,,,,,12.50,85.17,,,,,,51.36,,,,,,101.63,,,,233.77,,,,,,,,,,,
KAMART,,,,,,,,,,,,,,,,,293.00,293.00,,,,55.87,0.90,,,,,,,,"1,346.95",795.98,550.97,,,,,344.47,,,,0.90,0.36,,,,,,,,304.94,,,(หน่วย: ล้านบาท),,,,,,,,,,,8.46,,51.66,35.66,,,10.09,,,,20.17,,,,,,,,,,,,,,,,,,126.28,126.28,,,,,73.87,,,,,16.00,,,,,,0.36,,,,,,63.39,,,,10.72,28.67,9.60,,,,,,,,,
LOXLEY,,,,,,,,,,,,,,,,,"1,204.12","1,204.12",,,,2.00,"1,424.98",,,,,,,,"16,209.64","9,382.80","6,826.84",,,,,"5,004.41",,,,"1,424.98",106.11,291.45,,,,,,,"1,708.20",,,(หน่วย: ล้านบาท),,,,,,,,,,,,,364.24,14.32,,,90.06,,25.65,,25.65,,,,,,,,,,,,,,,,,,477.17,477.17,,,,227.54,5.25,122.38,,,,,,,710.76,,710.76,803.23,,,,,,"2,894.08",,,,"1,099.93",,,,,,,,,,,
MAKRO,,,"2,422.60","2,422.60","2,087.89",,,,,,,,,,,,"46,383.69","31,304.85","1,220.40",,,22.08,240.64,,,,,,,,"58,975.97","20,412.69","38,563.28",,"1,614.73",,,925.85,,,,240.64,,349.29,,,,"2,124.74",,,"13,043.04",759.20,"12,533.43",(หน่วย: ล้านบาท),,,,,,,,,,,329.95,,"1,731.01",116.29,,,"1,998.01",58.94,29.98,,29.98,,,,,594.82,,,4.67,2.50,179.31,,249.58,9.98,"16,294.57",,,,291.81,112.50,,448.50,,,,,,,,,,,,,,2.52,,,,,,,,,,"4,360.99",,,,,,,,,,,
MC,,,107.78,107.78,,,,,,,,,,,,,491.61,491.61,,,,,,,,,,,,,"5,081.79","3,915.13","1,166.66",,,,,591.90,,,,,,,,,,,,,"2,216.31",,,(หน่วย: ล้านบาท),,,,,,,,,,,206.04,,135.51,,,,185.91,,30.44,,141.61,,,,,,,,,,,,,,,,,,,,,,,,,,,,,111.17,,,,,,417.91,,,,,,33.71,,,,553.50,,,,,,,,,,,
MEGA,,,219.47,219.47,,160.09,,,,,,,,,,,"1,183.04","1,183.04",,,,,188.03,,,,,,,,"8,719.84","6,470.14","2,249.70",,,,,"2,519.67",,,,,,188.03,,,,,,,"2,219.27",,,(หน่วย: ล้านบาท),,,,,,,,,,,103.25,,207.87,,,,514.37,,25.66,160.46,185.76,,,,,,,,,,,,,,,,,,38.05,38.05,,,,207.87,,,,,1.54,,,,,,,696.75,0.42,,,,,4.23,,,,477.67,,,,,,,,,,,
MIDA,,,,,,15.79,,,,,,,,,,,,"2,952.85",,,,1.44,"2,270.82",,,,,,,,"10,392.29","3,500.98","6,891.31",,,,,99.08,,,,"2,270.82","1,457.83",4.21,,,,,,,"1,509.04",,,(หน่วย: ล้านบาท),,,,,,,,,,,168.99,,87.60,64.93,,,20.37,,65.46,,74.09,,,,,,,,,,,,,,,,,,925.81,925.81,,,,8.63,31.12,,,,126.78,,,,245.83,,,0.07,,,,,,,,,,139.46,105.76,172.55,,,,,,,,,
ROBINS,,,45.40,45.40,,,,,,,,,,,,,"9,976.29","9,976.29",,,,,,,,,,,,,"27,553.74","5,383.05","22,170.69",,,,,996.96,,,,,,366.50,,,,"2,503.40",,,"2,028.02",,,(หน่วย: ล้านบาท),,,,,,,,,,,98.60,,182.80,,,,,,,,670.91,,,,,,,,,,,,,,,,,,"5,653.74","5,653.74",,,,,,,,,,,,,207.62,,207.62,4.07,,,,,,"3,014.73",,,,"1,804.71",,,,,,,,,,,
RSP,,,,,,,,,,,,,,,,,170.62,170.62,,,,,,,,,,,,,"2,027.20","1,801.09",226.11,,,,,178.66,,,,,,,,,,,,,178.98,,,(หน่วย: ล้านบาท),,,,,,,,,,,9.40,,32.45,,,,10.27,,,,27.80,,,,,,,,,,,,,,,,,,,,,,,,,,,,8.02,,,,,,,300.05,,,,,,,,,,"1,110.94",,,,,,,,,,,
SINGER,,,,,,3.92,,,,,,,,,,,438.95,438.95,,,,,640.48,,,,,,,,"3,500.51","2,286.15","1,214.36",,55.68,,,13.40,,,,640.48,"1,419.03",204.22,,,,,,,311.71,,,(หน่วย: ล้านบาท),,,,,,,,,,,86.82,,55.68,,,,26.71,,15.49,,19.41,,,,,,,,,,,,,,,,,,,,,,,,5.00,,,,,,,,2.00,,2.00,,,,,,,,,,,277.10,,,,,,,,,,,
SPC,,,19.22,19.22,68.88,,,2.52,,,,508.96,,,45.74,,"2,497.48",994.60,,,719.12,13.65,"5,336.96",,,,,,,,"25,750.86","11,726.39","14,024.47",,,,,"5,198.44",,,,13.65,2.42,,,,52.41,,,,820.87,,743.97,(หน่วย: ล้านบาท),,,,,,,,,,,15.30,,"1,927.55","1,927.55",,,17.29,1.67,26.14,,82.57,,,,,42.70,341.22,,,35.36,67.81,,23.77,138.53,"1,502.88",733.40,,,"3,202.39","2,401.18",,24.80,,,60.00,,,,,56.42,,,"10,480.65",,"1,315.15","1,893.22",,,"8,278.63",,,,,,,"1,823.89",,,,,,,,,,,
SPI,,,,,,,,,,,,,,,,606.44,"1,320.44","1,320.44",,,,219.10,47.94,,,,,,,,"35,129.85",463.36,"34,666.49",,,,,253.47,,,,47.94,47.53,,,,,,,,2.56,,,(หน่วย: ล้านบาท),,,,,,,,,,,222.95,,,,,,8.94,,53.22,,95.74,,,,,,,,,,,,,,,,,,"3,044.02","3,044.02",,,,,,,,,,42.53,,,"4,131.03",,"1,612.73",61.04,,,"2,518.30",,,"25,188.99",,,,98.76,,,,,,,,,,,
AHC,,,,,,,,,,,,,,,,,781.70,781.70,,,,,,,,,,,,,"1,756.98",775.83,981.15,,84.95,,,75.08,,,,,,,,,,,,,44.97,,,(หน่วย: ล้านบาท),,,,,,,,,,,,,88.20,3.25,,,36.91,,,,0.06,,,,,,,,,,,,,,,,,,,,,,,,,,,,23.14,,,,139.33,,139.33,100.99,,,,,,,,,,466.58,,,,,,,,,,,
BCH,,,329.38,329.38,,,,,,,,,,,,,"7,744.47","7,744.47",,,,,37.24,,,,,,,,"12,674.10","3,363.81","9,310.29",,,,,"1,053.59",,,,,,37.24,,,,,,,204.38,,,(หน่วย: ล้านบาท),,,,,,,,,,,27.77,,2.80,,,,142.47,,,,42.69,,,,,,,,,,,,,,,,,,973.28,973.28,,,,,,,,,0.76,,,,42.55,,42.55,"1,580.27",,,,,,6.92,,,,485.53,,,,,,,,,,,
BDMS,,,"17,538.87","17,538.87",,,,,,,,,,,,,"71,559.48","71,559.48",,,,,,,,,,,,,"122,626.69","14,359.07","108,267.62",,,,,"6,939.93",,,,,,,,,,664.72,,,"1,735.27",,,(หน่วย: ล้านบาท),,,,,,,,,,,68.01,,21.08,21.08,,,"1,237.37","1,237.37",430.47,,430.47,,,,,,,,,,,,,,,,,,307.78,307.78,,,,,,,,,7.95,,,,645.80,,645.80,571.62,,,,,,"15,807.18",,,,"5,091.15",,,,,,,,,,,
BH,,,,106.09,713.21,140.98,,,,,,,,,,,,"11,624.64",,,,1.53,"2,121.87",,,,,,,,"25,203.01","12,213.62","12,989.39",,,,,"1,886.72",,,,,,,,,,,,,511.12,,511.12,(หน่วย: ล้านบาท),,,,,,,,,,,298.93,,173.82,32.84,,,713.21,,25.03,,25.03,,,,,,,,,,,,,236.68,,,,,,,,,,,,,,,,,,,1.70,,1.70,"5,432.90",,,,,,219.79,,,,"4,209.06",,,,,,,,,,,
CHG,,,47.28,47.28,,,,,,,,,,,,,"3,385.20","3,385.20",,,,,,,,,,,,,"4,951.18","1,332.00","3,619.18",,504.11,,,272.48,,,,,,,,,,6.87,,,118.88,,,(หน่วย: ล้านบาท),,,,,,,,,,,6.99,,525.05,20.95,,,15.75,,42.30,,42.30,,,,,,,,,,,,,,,,,,114.37,114.37,,,,,,,,,0.41,,,,,,,1.60,,,,,,,,,,414.00,,,,,,,,,,,
CMR,,235.03,298.49,298.49,6.78,,,,,,,,,,,,"4,372.36","4,372.36",,,,29.62,396.80,,,,,,,,"8,793.36","1,007.24","7,786.12",,,,,396.80,,,,,,,,,,,,,109.68,,109.68,(หน่วย: ล้านบาท),,,,,,,,,,,6.22,,17.74,17.74,,,6.78,,11.23,,11.23,,,,,,,,,,,,,,,,,,64.99,64.99,,,,,134.00,,,,43.44,,,,"2,844.33",,,0.76,,,"2,609.29",,,108.65,,,,348.26,29.62,,,,,,,,,,
EKH,,,,,12.77,0.46,,,,,,,,,,,583.71,316.47,,,,6.36,47.19,,,,,,,,900.31,347.86,552.45,,,,,52.59,,,,,,,,,,,,,12.06,,12.18,(หน่วย: ล้านบาท),,,,,,,,,,,1.44,,1.21,0.75,,,2.43,,0.48,,1.30,,,,,10.33,,,,,,,0.11,0.96,267.24,0.14,,,3.77,3.63,,,,,,,,,,0.83,,,227.17,,227.17,211.85,,,,,,,,,,70.16,,,,,,,,,,,
KDH,,,,,2.43,,,,,,,,,,,,452.93,452.93,,,,4.56,46.72,,,,,6.05,,,596.65,122.94,473.72,,,,,49.26,,,,,,,,,,,,,4.59,,4.59,(หน่วย: ล้านบาท),,,,,,,,,,,4.10,,,,,,2.43,,0.21,,6.26,,,,,,,,,,,,,2.03,,,,,,,,,,,,,,,,,,,8.00,,8.00,,,,,,,,,,,69.09,,,,,,,,,,,
LPH,,,,,,,,,,,,,,,,,"1,204.58","1,204.58",,,,,,,,,,,,,"2,090.01",707.48,"1,382.53",,114.06,,,104.47,,,,,,,,,,18.94,,,21.64,,,(หน่วย: ล้านบาท),,,,,,,,,,,33.25,,125.75,11.70,,,43.07,,,,1.73,,,,,,,,,,,,,,,,,,39.82,39.82,,,,,,,,,41.15,,,,,,,246.97,,,,,,,,,,208.64,,,,,,,,,,,
M-CHAI,,,,,,,,,,,,,,,,,,"2,221.30",,,,,8.08,,,,,,,,"4,476.60","1,216.71","3,259.89",,,,,206.29,,,,,,,,,,375.99,,,59.76,,,(หน่วย: ล้านบาท),,,,,,,,,,,,,4.18,,,,4.80,,,,10.23,,,,,,,,,,,,,,,,,,,99.68,,,,,,,,,0.50,,,,47.80,,,0.16,,,,,,491.51,,,,946.33,8.08,,,,,,,,,,
NEW,,,,,,,,,,,,,,,,,,391.86,,,,,,,,,,,,,472.62,63.89,408.73,,,,,25.28,,,,,,,,,,,,,5.53,,,(หน่วย: ล้านบาท),,,,,,,,,,,4.89,,0.33,,,,6.03,,,,0.93,,,,,,,,,,,,,,,,,,,,,,,,,,,,5.02,,,,,,,,,,,,,,,,,32.75,,,,,,,,,,,
NTV,,,,,,15.68,5.89,,,,,,,,,,"2,686.08","1,384.80",,,,,151.48,,,,,,,,"2,133.03",708.63,"1,424.41",,,,,148.54,,,,,,,,,,,,,39.02,,39.02,(หน่วย: ล้านบาท),,,,,,,,,,,9.53,,17.21,1.53,,,13.03,13.03,2.76,,8.65,,,,,,,,,,,,,2.94,"1,301.28",,,,,,,,,,,,,,,,,,8.40,,,486.87,,,8.40,1.92,,,,,,15.08,,,,,,,,,,,
RAM,,,,,,,,,,,,,,,,,"3,259.70","3,259.70",,,,15.00,,,,,,,,,"16,477.58","1,725.74","14,751.84",,,,,276.20,,,,,,,,,,23.40,,,568.77,,,(หน่วย: ล้านบาท),,,,,,,,,,,3.00,,20.29,,,,14.20,,,,23.72,,,,,,,,,,,,,,,,,,,,,,,,479.00,,,,,,,,"5,705.51",,193.41,,,,"5,512.10",,,"5,707.30",,,,351.47,15.00,30.00,,,,,,,,,
RJH,,,87.80,87.80,,,,,,,,,,,,,829.61,829.61,,,,,8.75,,,,,,,,"1,901.25",923.21,978.04,,,,,226.45,,,,8.75,,,,,,,,,23.79,,,(หน่วย: ล้านบาท),,,,,,,,,,,34.28,,6.05,6.05,,,3.94,,,,2.37,,,,,,,,,,,,,,,,,,,,,,,,,,,,11.29,,,,,,,404.27,,,,,,,,,,262.66,,,,,,,,,,,
RPH,,,,,,,,,,,,,,,,,,"1,108.67",,,,,,,,,,,,,"1,689.34",548.27,"1,141.07",,,,,19.31,,,,,,,,,,,,,10.42,,,(หน่วย: ล้านบาท),,,,,,,,,,,2.74,,,,,,6.34,,,,9.38,,,,,,,,,,,,,,,,,,12.00,12.00,,,,9.04,,,,,1.94,0.34,,,,,,350.00,,,,,,,,,,168.54,,,,,,,,,,,
SKR,,,326.17,326.17,,,,,,,,,,,,,"4,324.97","4,324.97",,,,,25.01,,,,,,,,"5,349.69",586.75,"4,762.95",,140.68,,,230.20,,,,,,25.01,,,,70.97,,,104.66,,,(หน่วย: ล้านบาท),,,,,,,,,,,5.87,,154.16,13.49,,,9.76,,17.84,5.37,17.84,,,,,,,,,,,,,,,,,,5.38,5.38,,,,,,,,,2.00,,,,,,,0.47,,,,,,,,,,66.88,,,,,,,,,,,
