Stock,กำไร (ขาดทุน) จากการทำสัญญาป้องกันความเสี่ยง,กำไร (ขาดทุน) ที่ยังไม่เกิดขึ้นจากการเปลี่ยนแปลงสัดส่วนการลงทุน,กำไร (ขาดทุน) สะสม,กำไร (ขาดทุน) สะสม - ยังไม่ได้จัดสรร,กำไรสะสม - จัดสรรแล้ว,ค่าตอบแทนค้างจ่ายผู้ให้สัมปทานสิทธิ,ค่าเบี้ยประกันรับล่วงหน้า,ค่าใช้จ่ายค้างจ่าย,ค่าใช้จ่ายเกี่ยวกับพนักงานค้างจ่าย,จำนวนหุ้นทุนซื้อคืน (หน่วย : หุ้น),ดอกเบี้ยค้างจ่าย,ตราสารหนี้,ต่างประเทศ - มีดอกเบี้ย,ต่างประเทศ - ไม่มีดอกเบี้ย,ต้นทุนค่าก่อสร้างที่ยังไม่เรียกเก็บ,ทุนจดทะเบียน,ทุนที่ออกและชำระเต็มมูลค่าแล้ว,ทุนที่ได้รับจากผู้ถือหน่วยลงทุน,บัญชีปรับสมดุล,บุคคลหรือกิจการที่เกี่ยวข้องกัน,บุคคลหรือกิจการอื่น,ประมาณการหนี้สิน,ประมาณการหนี้สินระยะยาว,ประมาณการหนี้สินระยะสั้น,ผลต่างจากการแปลงค่างบการเงิน,ภาระจากการรับรอง,ภาระในการส่งคืนหลักทรัพย์,ภาษีธุรกิจเฉพาะค้างจ่าย,ภาษีมูลค่าเพิ่มค้างจ่าย,ภาษีสรรพสามิตค้างจ่าย,ภาษีเงินได้ค้างจ่าย,ภาษีเงินได้นิติบุคคลค้างจ่าย,รวมส่วนของผู้ถือหุ้น,รวมส่วนของผู้ถือหุ้นของบริษัท,รวมหนี้สิน,รวมหนี้สินหมุนเวียน,รวมหนี้สินไม่หมุนเวียน,รายการระหว่างธนาคารและตลาดเงิน,รายการอื่น,รายได้รอการรับรู้ - สุทธิจากส่วนที่ถึงกำหนดชำระภายในหนึ่งปี,รายได้รอการรับรู้ - ส่วนที่ถึงกำหนดชำระภายในหนึ่งปี,รายได้รับล่วงหน้า,สำรองค่าสินไหมทดแทนและค่าสินไหมทดแทนค้างจ่าย,สำรองตามกฎหมาย,สำรองอื่น ๆ,สำรองเบี้ยประกันภัย,สำรองเผื่อหนี้สินจากคดีความฟ้องร้อง,สำรองเพื่อขยายงาน,สำรองเพื่อชำระคืนเงินกู้ยืม,สำรองเพื่อซื้อหุ้นทุนซื้อคืน,สินทรัพย์สุทธิ,สินทรัพย์สุทธิต่อหน่วย (หน่วย : บาท),ส่วนของหนี้สินระยะยาวที่ถึงกำหนดชำระภายในหนึ่งปี,ส่วนเกิน (ต่ำกว่า) ทุนจากการรวมธุรกิจภายใต้การควบคุมเดียวกัน,ส่วนเกิน (ต่ำกว่า) ทุนจากการเปลี่ยนแปลงมูลค่ายุติธรรมของเงินลงทุน,ส่วนเกิน (ต่ำกว่า) ทุนจากการเพิ่มทุนของบริษัทย่อย และ/หรือ บริษัทร่วม,ส่วนเกิน (ต่ำกว่า) ทุนจากรายการในส่วนของผู้ถือหุ้นของบริษัทย่อย และ/หรือ บริษัทร่วม,ส่วนเกิน (ต่ำกว่า) ทุนจากหุ้นทุนซื้อคืน,ส่วนเกิน (ต่ำกว่า) ทุนอื่น,ส่วนเกิน (ต่ำกว่า) ทุนอื่น - อื่น ๆ,ส่วนเกิน (ต่ำกว่า) มูลค่าหุ้น,ส่วนเกินทุนจากการตีราคาสินทรัพย์ถาวร,ส่วนเกินทุนจากการลดทุน,ส่วนเกินทุนจากใบสำคัญแสดงสิทธิที่หมดอายุแล้ว,ส่วนแบ่งผลขาดทุนที่เกินเงินลงทุนในบริษัทร่วม และ/หรือ กิจการร่วมค้า,ส่วนได้เสียที่ไม่มีอำนาจควบคุม,หนี้สินจากสัญญาประกันภัย,หนี้สินจ่ายคืนเมื่อทวงถาม,หนี้สินตราสารอนุพันธ์,หนี้สินตราสารอนุพันธ์หมุนเวียน,หนี้สินตราสารอนุพันธ์ไม่หมุนเวียน,หนี้สินตามสัญญาปรับโครงสร้างหนี้และฟื้นฟูกิจการ,หนี้สินตามสัญญาเช่าการเงิน,หนี้สินตามสัมปทานสิทธิ,หนี้สินทางการเงิน,หนี้สินทางการเงินที่กำหนดให้แสดงด้วยมูลค่ายุติธรรม,หนี้สินทางการเงินหมุนเวียนอื่น,หนี้สินทางการเงินอื่น,หนี้สินทางการเงินไม่หมุนเวียนอื่น,หนี้สินที่เกี่ยวข้องโดยตรงกับสินทรัพย์ไม่หมุนเวียน และ/หรือ กลุ่มสินทรัพย์ที่ยกเลิกซึ่งถือไว้เพื่อขาย,หนี้สินผลประโยชน์พนักงานภายหลังเลิกจ้าง,หนี้สินผลประโยชน์พนักงานภายหลังเลิกจ้าง - สุทธิจากส่วนที่ถึงกำหนดชำระภายในหนึ่งปี,หนี้สินผลประโยชน์พนักงานภายหลังเลิกจ้าง - ส่วนที่ถึงกำหนดชำระภายในหนึ่งปี,หนี้สินภาษีเงินได้รอตัดบัญชี,หนี้สินระยะยาว - สุทธิจากส่วนที่ถึงกำหนดชำระภายในหนึ่งปี,หนี้สินระยะยาวอื่น,หนี้สินหมุนเวียนอื่น,หนี้สินหมุนเวียนอื่น - อื่น ๆ,หนี้สินอื่น,หนี้สินและทุน,หนี้สินไม่หมุนเวียน - อื่น ๆ,หนี้สินไม่หมุนเวียนอื่น,หลักทรัพย์ขายโดยมีสัญญาซื้อคืน,หุ้นกู้และตราสารหนี้อื่น,หุ้นของบริษัทที่ถือโดยบริษัทย่อย,หุ้นทุนซื้อคืน,หุ้นทุนรับซื้อคืน / หุ้นของบริษัทที่ถือโดยบริษัทย่อย,หุ้นบุริมสิทธิ,หุ้นสามัญ,องค์ประกอบอื่นของส่วนของผู้ถือหุ้น,อื่น ๆ,เงินกู้ยืม,เงินกู้ยืมระยะยาว,เงินกู้ยืมระยะยาว - บุคคลหรือกิจการที่เกี่ยวข้องกัน,เงินกู้ยืมระยะยาว - บุคคลหรือกิจการอื่น,เงินกู้ยืมระยะยาว - สถาบันการเงิน,เงินกู้ยืมระยะสั้น,เงินกู้ยืมและเงินรับฝาก,เงินค้างจ่ายเกี่ยวกับการประกันภัยต่อ,เงินถือไว้จากการประกันภัยต่อ,เงินทดรองรับและเงินกู้ยืมระยะสั้น,เงินประกันผลงาน,เงินปันผลค้างจ่าย,เงินฝากที่เป็นเงินตราต่างประเทศ,เงินฝากที่เป็นเงินบาท,เงินมัดจำ,เงินมัดจำการเช่าและบริการ,เงินรับฝาก,เงินรับล่วงหน้าค่าหุ้น,เงินรับล่วงหน้าจากลูกค้า - สุทธิจากส่วนที่ถึงกำหนดชำระภายในหนึ่งปี,เงินรับล่วงหน้าจากลูกค้า - ส่วนที่ถึงกำหนดชำระภายในหนึ่งปี,เงินสำรองการเสี่ยงภัยที่ยังไม่สิ้นสุด,เงินเบิกเกินบัญชีและเงินกู้ยืมจากสถาบันการเงิน,เงินเบิกเกินบัญชีและเงินกู้ยืมระยะสั้นจากสถาบันการเงิน,เจ้าหนี้,เจ้าหนี้การค้าและเจ้าหนี้อื่น,เจ้าหนี้ค่าที่ดินและค่าก่อสร้าง,เจ้าหนี้ค้างจ่าย,เจ้าหนี้จากการซื้อเงินลงทุน,เจ้าหนี้จากการแบ่งปันส่วนทุน,เจ้าหนี้ทรัสต์รีซีท,เจ้าหนี้ธุรกิจหลักทรัพย์และสัญญาซื้อขายล่วงหน้า,เจ้าหนี้บริษัทประกันภัยต่อ,เจ้าหนี้ระยะยาวอื่น - สุทธิจากส่วนที่ถึงกำหนดชำระภายในหนึ่งปี,เจ้าหนี้ระยะยาวอื่นที่ถึงกำหนดชำระภายในหนึ่งปี,เจ้าหนี้ระยะสั้นอื่น - สุทธิ,เจ้าหนี้สำนักหักบัญชี,เจ้าหนี้อื่น,ในประเทศ - มีดอกเบี้ย,ในประเทศ - ไม่มีดอกเบี้ย,ใบสำคัญแสดงสิทธิ สิทธิซื้อหุ้น และสิทธิในการเลือกซื้อหุ้น
RSP,,,131.81,85.81,46.00,,,,,,,,,,,770.00,770.00,,,,,,,,,,,,,,,18.27,"1,870.19","1,870.19",157.01,120.44,36.57,,,,,,,46.00,,,,,,,,,2.25,50.36,,,,,50.36,,918.03,,,,,,,,,,,,3.34,,,,,,,,,20.73,,,3.34,,20.35,2.08,,(หน่วย: ล้านบาท),,12.50,,,,,,,918.03,50.36,,,,,,,,,,,,,,,,,,,,,,,,,,97.84,,,,,,,,,,,,,,,
SINGER,,,859.03,832.03,27.00,,,,,,,"1,200.00",,,,270.00,270.00,,,,253.00,,,,,,,,,,,0.73,"1,577.68","1,577.68","1,922.83",477.79,"1,445.04",,,,,,,27.00,,,,,,,,,,,,,,,,,225.00,,,,,,,,,,,,,,,,,,,,,242.24,,,"1,200.00",,3.73,3.00,,(หน่วย: ล้านบาท),2.81,2.81,,,,,,,225.00,223.65,,,,,,,,,,,,,,,,,,,,,,,,86.15,,134.90,,,,,,,,,,253.00,,,,,
SPC,,,"9,453.12","9,393.12",60.00,,,,,,,,,,,330.00,330.00,,,,15.55,,,,,,,,,,,93.07,"16,354.34","16,199.18","9,396.52","8,203.94","1,192.57",,"4,672.63",,,,,,,,,,,,,,,,,,,,,,"1,743.44",,,,,155.16,,,,,,,,,,,,,,,,182.14,28.23,961.00,,,"2,671.85","2,578.78",,(หน่วย: ล้านบาท),49.43,49.43,,,,,,,"1,743.44","4,672.63",,,,,,,,,,,15.55,,,,,,,,,,,,,,,"5,488.32",,,,,,,,,,,,,,,
SPI,,,"20,066.20","19,706.20",360.00,,,,,,,"4,999.77",,,,582.92,494.03,,,,,,,,,,,,,,,,"24,729.03","24,700.59","10,400.82","4,414.24","5,986.58",,"3,092.84",,,,,80.00,280.00,,,,,,,,,,,,6.15,,6.15,,"1,041.36",,,,,28.45,,,,,,,,,,,,,,,,91.11,3.86,653.08,"4,999.77",,,,,(หน่วย: ล้านบาท),13.57,99.93,,,,,,,"1,041.36","3,098.99",6.15,,,,,,,,,,,86.35,,,,,,,,142.70,,,,"4,080.00",,330.37,,,,,,,,,,,,,,,
AHC,,,"1,122.56","1,107.56",14.99,,,116.66,,,,,,,,150.00,149.91,,,,1.09,,,,,,,,,,,12.37,"1,456.17","1,456.17",300.81,240.20,60.61,,,,,,,14.99,,,,,,,,,,,109.71,,,,109.71,,74.00,,,,,,,,,,,,,,,,,,,,,41.63,,18.98,,,163.14,34.11,,(หน่วย: ล้านบาท),,,,,,,,,74.00,109.71,,,,,,,,,,,,,,,,,,,,,,,,,,75.97,,,,,,,,,,1.09,,,,,
BCH,,,"2,086.78","1,837.41",249.37,,,374.98,,,,"2,497.65",,,,"2,493.75","2,493.75",,,,109.17,,,,,,,,,,,125.80,"5,911.76","5,194.65","6,762.34","2,276.11","4,486.23",,,,18.85,,,249.37,,,,,,,,,"1,000.00",,,,,,,,644.64,,,,,717.11,,,,,,,,,,,,,,,,117.33,,,"4,344.47",,539.87,39.10,,(หน่วย: ล้านบาท),,24.43,,,,,,,644.64,-30.52,,,,,,"1,846.83",,,,,,,,,,,,,,,,,,150.00,,458.21,,,,,,,,,,109.17,,,,,
BDMS,,,"34,490.33","34,314.50",175.82,,,"5,223.01",,,,"28,358.87",,,,"1,758.22","1,549.10",,,,67.00,,,,,,,,,,,706.02,"65,871.11","63,071.20","56,755.58","13,417.11","43,338.46",,"8,837.35",632.00,224.10,,,175.82,,,,,,,,,"1,485.35",,,,,,"-2,683.45","-2,683.45","20,877.87",,,,,"2,799.91",,,,,,,16.49,,,,,,,,,"2,005.84",2.44,"2,847.12","37,710.70",,"6,816.22",887.19,,(หน่วย: ล้านบาท),142.81,142.81,,,,,,,"20,877.87","6,153.90",,,,,,"9,335.33",,,,,67.00,,,,,,,,,,,,,72.34,,"4,749.67",,,,,,,,,,,,,,,
BH,,,"15,828.41","15,736.14",92.28,,,"1,162.94",,,,"2,490.25",,,,922.70,730.05,,,,"1,243.64",,,,,,,,,,,640.05,"17,760.14","17,459.21","7,442.87","4,293.24","3,149.64",,615.17,,,,,92.28,,,,,,,,,"1,165.55",,,,,,,,285.57,,,,,300.93,,,,,,,,,,,,,,,,594.04,,47.94,"2,507.65",,"1,884.05",81.06,,(หน่วย: ล้านบาท),,,,,,,,1.30,285.57,615.17,,,,166.62,17.40,,,,,,,,,,,,,,,,,,,,,"1,243.64",,,,,,,,,,,,,,,
CHG,,,"1,053.80",943.80,110.00,,,,,,,,,,,"1,100.00","1,100.00",,,,,,,,,,,,,,,44.49,"3,472.71","3,299.84","1,478.48","1,024.10",454.38,,,,,,,110.00,,,,,,,,,73.44,,,,,,,,"1,146.08",,,,,172.87,,,,,,,5.98,,,,,,,,,34.03,,11.68,408.67,,106.69,62.20,,(หน่วย: ล้านบาท),,,,,,,,,"1,146.08",-0.04,,,,,,402.69,,,,,,,,,,,,,,,,,,380.00,,463.97,,,,,,,,,,,,,,,
CMR,,,"1,521.26","1,439.58",81.69,,,139.53,,,,,,,,408.43,402.31,,,630.35,206.65,,,,,,,,,,,57.79,"5,265.89","3,577.97","3,527.47","1,868.07","1,659.40",,,,,,,81.69,,,,,,,,,298.39,,,,,,"1,667.07","1,667.07",,,,,,"1,687.92",,,,,,,0.60,,,,,,,,,80.11,,530.43,"1,038.30",,263.36,59.98,,(หน่วย: ล้านบาท),10.56,10.56,,,12.68,,12.68,,402.31,"1,667.07",,,,,,"1,037.69",,,,,837.00,,6.07,,,,,,,,,,,261.53,,207.78,,,,,,,,,,,,,,,
EKH,,0.58,98.88,90.23,8.64,,,1.59,,,,,,,,300.00,300.00,,,0.44,62.21,,,0.42,,,,,0.03,,,6.07,823.14,810.88,77.17,70.83,6.34,,,,,,,8.64,,,,,,,,,,,,,,,0.58,,411.42,,,,,12.25,,,,,,,,,,,,,,,,5.30,,,,,7.77,0.08,,(หน่วย: ล้านบาท),0.12,1.04,,,,,,,411.42,0.58,,,,,,,,,,,,0.93,,,,,,,,,,,,,,62.65,,,,,,,,,,,,,,,
KDH,,,-138.06,-153.06,15.00,,,50.30,,,,,,,,225.00,193.84,,,6.61,34.64,,11.31,,,,,,,,,,428.36,428.36,168.30,155.16,13.13,,,,,,,15.00,,,,,,,,,8.75,,,,,,,,372.58,,,,,,,,,,,,1.55,,,,,,,,,,,,1.55,,55.16,4.86,,(หน่วย: ล้านบาท),0.27,0.27,,,,,,,372.58,,,,,,,,,,,,,,,,,,,,,,,,,50.00,,,,,,,,,,,,41.25,,,,,
LPH,,5.63,276.60,239.10,37.50,,,,,,,,,,,375.00,375.00,,,,,,,,,,,,,,,10.31,"1,581.14","1,580.07",508.87,316.19,192.68,,,,,,,37.50,,,,,,,,,55.54,,,,,,5.63,,922.83,,,,,1.07,,,,,,,65.62,,,,,,,,,46.59,,3.71,125.70,,24.48,14.17,,(หน่วย: ล้านบาท),,16.69,,,,,,,922.83,5.63,,,,,,60.08,,,,,,,,,,,,,,,,,,27.32,,208.85,,,,,,,,,,,,,,,
M-CHAI,,,984.04,968.04,16.00,,,185.11,,,,,,,,160.00,160.00,,,51.00,22.50,,25.00,,,,,,,,,6.52,"2,191.06","1,395.54","2,285.54","1,186.08","1,099.46",,,,30.30,,,16.00,,,,,,,,,86.35,,,,,,,,88.00,,,,,795.52,,,,,,,9.69,,,,,,,,,74.38,0.82,7.38,951.49,,199.07,4.80,,(หน่วย: ล้านบาท),3.95,41.21,,,2.09,,2.09,,88.00,165.58,,,,101.00,169.90,670.90,,,,,73.50,37.26,2.64,,,,,,,,,,,625.46,,170.58,,,,,,,,,,,,,,,
NEW,,,175.27,165.27,10.00,,,,,,,,,,,100.00,100.00,,,,,,,,,,,,,,,0.01,337.77,337.77,134.85,63.74,71.11,,,,,,,10.00,,,,,,,,,13.17,,,,,,,,62.50,,,,,,,,,,,,3.01,,,,,,,,,11.87,12.59,,59.24,,2.15,1.98,,(หน่วย: ล้านบาท),,,,,,,,,62.50,,,,,,,56.23,,,,,,,0.16,,,,,,,,,,,2.87,,32.96,,,,,,,,,,,,,,,
NTV,,,"1,508.05","1,492.05",16.00,,,,,,,,,,,160.00,160.00,,,,182.42,,,,,,,,,,,40.51,"1,846.59","1,846.59",286.45,229.30,57.15,,,,,,,16.00,,,,,,,,,,,6.54,,,,6.54,,172.00,,,,,,,,,,,,,,,,,,,,,57.15,,,,,46.88,6.38,,(หน่วย: ล้านบาท),,,,,,,,,172.00,6.54,,,,,,,,,,,,,,,,,,,,,,,,,,182.42,,,,,,,,,,,,,,,
RAM,,-15.71,"8,681.28","8,666.28",15.00,,,103.69,,,,,,,,150.00,120.00,,,76.10,683.17,,,,,,,,,,,73.46,"11,679.45","11,122.99","4,798.13","4,298.47",499.66,,,,,,,15.00,,,,,,,,,116.04,,-38.38,,-38.38,,"2,321.71",,,,,,,556.46,,,,,,,116.04,,,,,,,,,68.87,,378.40,44.00,,221.79,44.64,,(หน่วย: ล้านบาท),,8.39,,,,,,,120.00,"2,321.71",,,,,,44.00,,,,,759.27,,,,,,,,,,647.96,,,"1,786.16",,211.90,,,,,,,,,,555.36,,,,,
RJH,,,208.06,178.06,30.00,,,,,,,,,,,300.00,300.00,,,,,,,,,,,,,,,22.06,"1,666.39","1,590.99",234.86,192.44,42.41,,,,,,,30.00,,,,,,,,,0.49,,,,,,,,"1,092.89",,,,,75.40,,,,,,,1.31,,,,,,,,,38.35,,0.12,1.31,,22.06,,,(หน่วย: ล้านบาท),,2.64,,,,,,,"1,092.89",-9.96,,,,,,,,,,,,,,,,,,,,,,,,,,169.89,,,,,,,,,,,,,,,
RPH,,,64.57,35.18,29.39,,,,,,,,,,,546.00,546.00,,,,,,,,,,,,,,,7.59,"1,289.19","1,289.19",400.15,386.83,13.32,,-0.44,,,,,29.39,,,,,,,,,64.00,,,,,,9.52,9.52,669.54,,,,,,,,,,,,0.06,,,,,,,,,13.32,,,,,12.30,4.72,,(หน่วย: ล้านบาท),,,,,,,,,669.54,9.08,,,,,,63.94,,,,,,,,,,,,,,,,,,,,310.53,,,,,,,,,,,,,,,
SKR,,,761.75,702.24,59.51,,,,,,,,,,,981.56,981.56,,,,192.30,,,,,,,,,,,4.34,"3,556.06","3,490.40","1,793.63",733.51,"1,060.12",,,,,,,59.51,,,,,,,,,263.24,,,,,105.08,396.93,284.74,"1,350.15",,7.11,,,65.67,,,,,,,,,,,,,,,,89.10,,83.34,886.58,99.18,14.37,7.58,,(หน่วย: ล้านบาท),,1.10,,,,,,,"1,350.15",396.93,,,,,,787.40,,,,,,,2.45,,,,,,,,,,,115.09,,148.50,,,,,,,,,,192.30,,,,,
SVH,,,"4,776.38","4,676.38",100.00,,,723.13,,,,,,,,"1,000.00","1,000.00",,,,,,,,,,,,,,,197.94,"8,305.91","7,724.70","2,799.21","1,659.74","1,139.47",,,455.54,45.65,,,100.00,,,,,,,,,0.32,,,,"1,834.89",,"1,828.17",-6.72,120.14,"1,834.89",,,,581.21,,,,,,,0.45,,,,,,,,,301.29,,374.52,0.45,,950.81,29.75,,(หน่วย: ล้านบาท),7.69,7.69,,,,,,,120.14,"1,828.17",,,,,,,,,,,,,,,,,,,,,,,,,,662.96,,,,,,,,,,,,,,,
THG,,"-1,099.30","1,251.22","1,138.69",112.52,,,,,,,,,,,849.08,849.08,,,,,,,,,,,,19.29,,,50.58,"8,664.80","8,403.15","5,344.91","1,279.17","4,065.74",,540.91,,,,,112.52,,,,,,,,,103.69,,,,,,"-1,099.30",,"6,861.24",,,,,261.65,,,,,,,9.44,,,,,,,,,228.91,,375.77,"3,453.69",2.00,120.82,50.94,,(หน่วย: ล้านบาท),,7.37,,,,,,,"6,861.24",-558.39,,,,,,"3,442.25",,,,,,,,,,,,,,,,,,129.06,,925.61,,,,,,,,,,,,,,,
VIBHA,,,"2,084.90","1,952.93",131.97,,,241.11,,,,,,,,"1,493.78","1,319.69",,,814.35,206.65,,,,,,,,,,,100.06,"9,367.45","7,013.39","6,078.85","3,533.75","2,545.10",,,,,,,131.97,,,,,,,,,731.40,,,,,,,,"2,377.17",,,,,"2,354.06",,,,,,,14.16,,,,,,,,,133.87,,626.32,"1,770.48",70.95,405.45,47.97,,(หน่วย: ล้านบาท),,14.43,,,,,,,"2,377.17","1,231.64",,,,,,"1,685.37",,,,,"1,021.00",,16.31,,,,,,,,,,,"1,031.53",,308.78,,,,,,,,,,35.58,,,,,
VIH,,,434.36,403.42,30.93,,,,,,,,,,,570.67,570.67,,,,,,,,,,,,,,,4.84,"1,063.24","1,061.63",751.70,452.34,299.36,,,,,,,30.93,,,,,,,,,85.64,,,,,,,,37.94,,,,,1.62,,,,,,,6.70,,,,,,,,,26.04,,9.94,223.14,,7.84,3.00,,(หน่วย: ล้านบาท),,3.29,,,,,,,37.94,18.67,,,,,,216.44,,,,,,,,,,,,,,,,,,9.18,,345.45,,,,,,,,36.94,4.24,,,,,,
WPH,,,35.18,23.59,11.59,,,,,,,,,,,300.00,300.00,,,,,,,,,,,,,,,,846.22,831.84,79.84,53.38,26.46,,,,,,,11.59,,,,,,,,,0.56,,,,,,,,496.78,,,,,14.39,,,,,,,0.13,,,,,,,,,23.97,,,0.13,,4.91,4.91,,(หน่วย: ล้านบาท),,2.37,,,,,,,496.78,-0.12,,,,,,,,,,,,,,,,,,,,,,,,0.01,,47.90,,,,,,,,,,,,,,,
AMARIN,,,115.97,81.17,34.80,,,129.22,,,,200.00,,,,"1,260.00",998.28,,,,84.67,,,,,,,,,,,20.77,"3,901.06","3,901.06","1,678.08",848.42,829.66,,,,,,,34.80,,,,,,,,,460.57,,,,,,,,"2,786.81",,,,,,,,,,,,48.69,650.45,,,,,,,,130.00,,,699.13,,184.98,34.99,,(หน่วย: ล้านบาท),,0.52,,,,,,,"2,786.81",,,,,,,,,,,,,,,,,,,,,,,,,,,118.21,,,,,,,,,,84.67,,,,,
AQUA,,,"1,057.71",956.76,100.95,,,,,"86,040.00",,158.55,,,,"2,296.50","2,296.50",,,,,,,,,,,,,,,3.20,"3,762.68","3,690.62","2,923.02",510.02,"2,413.00",,,,,,,34.57,,,,,,66.39,,,395.48,,,,,,,,312.84,,,,,72.06,,,,,,,2.42,,,,,,,,,11.55,0.51,369.00,"1,845.00",,7.19,4.00,,(หน่วย: ล้านบาท),,187.45,,,,66.39,66.39,,312.84,89.95,,,,,,"1,684.03",,,,,,,,,,,,,,,,,,,,106.84,,,,,,,,,,,,,,,
AS,,,-274.45,-274.45,,,,,,,,,,,,512.35,409.88,,,1.03,120.56,,8.20,,,,,,,,,,122.64,129.78,286.46,277.75,8.70,,,,114.95,,,,,,,,,,,,,,,,,,,,,,,,,-7.15,,,,,,,0.21,,,,,,,,,,,0.30,0.21,,9.76,,,(หน่วย: ล้านบาท),,,,,,,,,409.88,-5.64,,,,,,,,,,,1.03,,,,,,,,,,,,,23.50,,128.51,,,,,,,,,,,,,,,
BEC,,,"3,146.78","2,946.78",200.00,,,428.11,,,,"2,996.93",,,,"2,000.00","2,000.00",,,,,,,,,,,,,,,43.36,"6,545.54","6,392.11","7,785.38","2,450.77","5,334.61",,,,,,,200.00,,,,,,,,,475.74,,,,,,,,"1,166.72",,,,,153.43,,,,,,,4.91,"1,674.37",,,,,,,,657.17,,,"4,676.22",,809.40,337.93,,(หน่วย: ล้านบาท),,1.22,,,,,,,"1,166.72",78.60,,,,,,,,,,,,,,,,,,,,,,,,249.88,,915.74,,,,,,,,,,,,,,,
EPCO,,,401.19,317.59,83.60,,,,,,,"3,234.10",,,,937.72,836.03,,,,158.90,,,,,,,,,,,10.22,"2,473.95","2,108.78","6,004.65","1,281.33","4,723.33",,500.44,,,,,83.60,,,,,,,,,606.16,,,,,,,,371.12,,,,,365.17,,,,,,,,,,,,,,,,29.17,0.20,,"4,646.71",,37.18,26.00,,(หน่วย: ล้านบาท),47.45,47.45,,,,,,,371.12,500.44,,,,,,"1,412.61",,,,,158.90,,0.96,,,,,,,,,,,291.00,,187.89,,,,,,,,,,,,,,,
FE,,,852.30,844.80,7.50,,,54.07,,,,,,,,75.00,75.00,,,22.34,325.84,,,,,,,,0.10,,,5.80,"1,196.46","1,172.22",483.90,415.68,68.23,,,,,,,7.50,,,,,,,,,,,149.83,0.09,,,149.92,,95.00,,,,,24.24,,,,,,,,,,,,,,,,45.43,,22.01,,,67.50,7.39,,(หน่วย: ล้านบาท),,0.78,,,,,,,95.00,149.92,,,,,,,,,,,,,0.13,,,0.78,,,,,,,,,,348.18,,,,,,,,,,,,,,,
GPI,,,45.91,15.91,30.00,,,,,,,,,,,300.00,300.00,,,,,,,,,,,,,,,7.96,741.91,741.91,342.99,320.78,22.21,,,,256.64,,,30.00,,,,,,,,,0.78,,,,,,110.56,110.56,285.43,,,,,,,,,,,,,,,,,,,,,22.21,,,,,7.96,,,(หน่วย: ล้านบาท),,,,,,,,,285.43,110.56,,,,,,,,,,,,,,,,,,,,,,,,,,55.40,,,,,,,,,,,,,,,
GRAMMY,,,"-4,719.27","-4,851.26",131.99,,,,,,,,,,,819.95,819.95,,,,,,,,,,,,,,,173.68,"1,107.31",949.84,"2,658.79","1,858.08",800.71,,,,188.83,,,131.99,,,,,,,,,59.48,,,,,,,,"5,118.83",,,,,157.47,,,,,,,30.33,,,,,,,,,220.72,,0.02,579.97,,415.37,241.69,,(หน่วย: ล้านบาท),,,,,,,,,"5,118.83",-269.67,,,,,549.64,,,,,,,,,,,,,,,,,,,,,"1,194.41",,,,,,,,,,,,,,,
MACO,,,318.09,277.14,40.95,,,,,,,,,,,409.52,343.89,,,,164.42,,,,,,,,,,,17.58,"1,493.57","1,426.43",517.16,479.18,37.98,,,,,,,40.95,,,,,,,,,,,,,,,,,743.49,,,,,67.14,,,,,,,,,,,,,,,,20.74,,8.15,,,84.75,28.17,,(หน่วย: ล้านบาท),9.08,9.08,,,,,,,743.49,20.96,,,,,,,,,,,,,39.00,,,,,,,,,,,230.00,,164.42,,,,,,,,,,,,,,,
MAJOR,,,"1,487.16","1,396.56",90.60,,,394.60,,,0.42,"1,500.00",,,,896.27,894.67,,,15.90,256.94,,,,-11.45,,,,9.93,,,61.33,"6,498.76","6,413.55","7,308.95","3,945.87","3,363.08",,,,,,,90.60,,,,,,,,,658.59,-349.45,44.04,,,288.42,-16.98,,"4,055.61",,,,,85.21,,,,,,,21.13,,,,,,,,,38.90,,241.37,"2,605.36",,882.14,412.10,,(หน่วย: ล้านบาท),,477.46,,,,,,,288.42,-28.43,,,,,,"1,084.23",,,,,15.90,244.24,,,,233.23,,,,,,,,"1,459.89",,624.36,,,,,,,,,,304.98,,,,,4.54
MATCH,,,-102.62,-113.28,10.66,,,,,,,,,,,781.63,781.63,,,,,,,,,,,,,,,,"1,585.29","1,585.22",224.52,82.86,141.66,,,,,,,10.66,,,,,,,,,33.02,,,,,,,,906.21,,,,,0.07,,,,,,,7.15,,,,,,,,,32.68,,0.69,108.29,,11.89,11.89,,(หน่วย: ล้านบาท),,,,,,,,,906.21,,,,,,,101.14,,,,,,,,,,,,,,,,,,1.96,,35.98,,,,,,,,,,,,,,,
MATI,,,703.49,659.49,44.00,,,,,,,,,,,225.35,185.35,,,,,,,,,,,,,,,,"1,473.84","1,473.84",311.12,80.77,230.36,,,,,,,44.00,,,,,,,,,,,,,,,,,585.00,,,,,,,,,,,,,,,,,,,,,227.20,,,,,15.15,,,(หน่วย: ล้านบาท),3.16,3.16,,,,,,,585.00,,,,,,,,,,,,,,,,,,,,,,,,,,,65.61,,,,,,,,,,,,,,,
