ROA(%),ROE(%),กำไรต่อหุ้น (บาท),กำไรสุทธิ,งวดงบการเงิน ณ วันที่,มูลค่าหุ้นที่เรียกชำระแล้ว,รายได้รวม,สินทรัพย์รวม,ส่วนของผู้ถือหุ้น,หนี้สินรวม,อัตรากำไรสุทธิ(%),Stock
4.78,5.36,0.87,"1,118.03",31/12/2558,"1,280.00","63,436.41","43,878.63","21,239.67","22,544.72",1.76,STA
-0.73,-3.69,-0.59,-757.99,31/12/2559,"1,280.00","77,907.50","55,958.55","19,847.54","36,046.64",-0.97,STA
-0.35,-6.72,-1.05,"-1,437.05",31/12/2560,"1,536.00","91,267.64","59,707.78","22,908.03","36,430.89",-1.57,STA
-0.29,-0.80,-0.02,-10.66,31/12/2557,446.99,"2,155.63","1,666.26","1,328.29",337.10,-0.49,TLUXE
-2.02,-2.67,-0.07,-38.79,31/12/2558,563.05,"1,982.56","2,309.42","1,581.65",715.32,-1.96,TLUXE
14.62,13.94,0.42,236.98,31/12/2559,563.05,"2,240.18","3,569.31","1,819.35","1,749.96",10.58,TLUXE
-3.74,-15.60,-0.44,-249.57,31/12/2560,563.05,"1,874.87","3,929.95","1,379.81","2,550.14",-13.31,TLUXE
0.70,-8.26,-0.18,-123.37,31/12/2557,681.48,"11,546.73","7,065.61","1,606.65","5,326.31",-1.07,TRUBB
2.44,-4.89,-0.11,-76.20,31/12/2558,681.48,"8,990.27","6,588.02","1,509.35","4,913.04",-0.85,TRUBB
0.76,-9.51,-0.25,-168.08,31/12/2559,681.48,"7,853.06","7,570.13","2,025.39","5,356.71",-2.14,TRUBB
5.18,6.81,0.21,144.41,31/12/2560,"1,685.08","9,468.58","8,007.62","2,217.45","5,568.54",1.53,TRUBB
2.18,1.69,0.09,80.70,31/12/2558,880.42,"1,420.81","5,828.42","4,742.06",907.80,5.68,TWPC
15.06,13.60,0.76,669.04,31/12/2559,880.42,"6,321.14","6,403.01","5,099.56","1,058.26",10.58,TWPC
9.70,9.44,0.56,492.91,31/12/2560,880.42,"6,475.24","7,116.48","5,346.33","1,210.37",7.61,TWPC
15.08,16.92,0.58,188.24,31/12/2557,324.05,"1,221.46","1,559.63","1,123.11",436.52,15.41,UPOIC
0.39,-1.09,-0.04,-11.96,31/12/2558,324.05,"1,289.10","1,582.51","1,062.56",519.95,-0.93,UPOIC
6.41,6.53,0.22,72.20,31/12/2559,324.05,972.32,"1,547.37","1,150.09",397.28,7.43,UPOIC
-0.72,-1.65,-0.06,-18.34,31/12/2560,324.05,781.29,"1,520.11","1,068.59",451.52,-2.35,UPOIC
20.53,19.77,0.68,636.39,31/12/2557,470.00,"5,848.28","3,858.01","3,282.40",523.62,10.88,UVAN
11.36,11.52,0.40,374.32,31/12/2558,470.00,"4,038.34","3,810.48","3,214.02",525.28,9.27,UVAN
10.70,10.70,0.37,344.59,31/12/2559,470.00,"4,483.86","3,723.19","3,224.32",439.74,7.69,UVAN
19.36,18.66,0.66,624.70,31/12/2560,470.00,"6,614.18","4,127.45","3,472.99",597.84,9.44,UVAN
8.21,8.54,0.11,93.83,31/12/2557,940.00,"2,304.89","1,994.52","1,279.22",715.29,4.07,VPO
-5.12,-10.48,-0.13,-124.99,31/12/2558,940.00,"1,481.80","1,729.55","1,107.23",622.32,-8.44,VPO
-10.77,-21.14,-0.23,-212.37,31/12/2559,940.00,"1,183.38","1,708.69",902.09,806.60,-17.95,VPO
-10.25,-24.31,-0.21,-195.89,31/12/2560,940.00,"1,391.19","1,485.90",709.42,776.48,-14.08,VPO
11.24,12.30,0.12,79.31,31/12/2557,454.67,"1,239.98","1,148.59",684.52,447.89,6.40,APURE
9.90,9.55,0.11,96.29,31/12/2558,670.79,"1,247.01","1,465.60","1,332.36",118.22,7.72,APURE
16.20,13.70,0.22,191.60,31/12/2559,670.79,"1,565.12","1,619.65","1,464.14",137.57,12.24,APURE
10.89,9.54,0.16,141.82,31/12/2560,670.79,"1,607.74","1,642.39","1,510.13",113.75,8.82,APURE
0.95,-6.87,-0.36,-129.35,31/12/2557,361.82,"7,950.51","6,003.77","1,843.52","4,160.25",-1.63,ASIAN
